id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1344784576812560385,2020-12-31 23:16:42+00:00,1344784576812560385,"RT @AnaMariaGazmuri: En serio, llegó el momento de tomar el toro por las astas, asumir el fracaso del actual enfoque que enriquece a los Na…",257,0,0,0,,es,False,,andres20ad,0.934304,0.059234,0.006462,NEG
1344771193811955712,2020-12-31 22:23:31+00:00,1344771193811955712,RT @msclaudiakings: Hola a todxs. Acabo de ser notificada que fue desvinculada de mi trabajo. Les agradecería un montón algún dato de pega…,658,0,0,0,,es,False,,andres20ad,0.031386,0.824721,0.143893,NEU
1344771152716181508,2020-12-31 22:23:22+00:00,1344771152716181508,"RT @pgselles: Lamentablemente a partir de hoy estoy cesante, al igual que  cientos de trabajadores de la educación  que quedamos en esa con…",585,0,0,0,,es,False,,andres20ad,0.866729,0.128183,0.005089,NEG
1344767861433241602,2020-12-31 22:10:17+00:00,1344767861433241602,"El Ministro Paris da a conocer la muerte de 109 personas. Pero a renglón seguido le quita dramatismo porque según sus cálculos, en los últimos 11 días han muerto 41 personas al día. Este enano es realmente siniestro. https://t.co/iJ4Oc7gl8c",49,45,3,3,https://twitter.com/rafaelg_fisica/status/1344694824092508160?s=19,es,False,,andres20ad,0.957246,0.036999,0.005754,NEG
1344644978098790400,2020-12-31 14:01:59+00:00,1344644978098790400,"RT @RafaelHarvey3: ⚠️ A tod@s les quiero comentar q aún faltan muchas firmas!! Les pido a l@s que puedan, difundir en sus WhatsApp, FB, IG…",223,0,0,0,,es,False,,andres20ad,0.087758,0.826386,0.085856,NEU
1344643294521929730,2020-12-31 13:55:18+00:00,1344643294521929730,"RT @isabella3289: Es terrible, ayer hubo 984 fallecidos y casi no hay gente en la calle. Está todo cerrado y tampoco andan muchos autos, yo…",24,0,0,0,,es,False,,andres20ad,0.965119,0.030932,0.003949,NEG
1344408626526642182,2020-12-30 22:22:49+00:00,1344408626526642182,"Infringe todos los protocolos en los funerales 
Anda sin mascarilla en la playa
Usa una gira internacional para que sus hijos hagan negocios
Abre el aeropuerto para que Cecilia Morel se pasee en Miami

Piñera vive infringiendo las reglas. Así se comportan los delincuentes. https://t.co/uSX1zSj57W",364,543,30,12,https://twitter.com/andres20ad/status/1344408626526642182/photo/1,es,False,,andres20ad,0.950498,0.043459,0.006043,NEG
1344392087421259777,2020-12-30 21:17:05+00:00,1344392087421259777,RT @jazzun: Nunca sabremos cuántas vidas habría salvado la destitución de Piñera,645,0,0,0,,es,False,,andres20ad,0.663804,0.272881,0.063314,NEG
1344392051341881346,2020-12-30 21:16:57+00:00,1344392051341881346,"RT @danieljadue: Bárbara Sepulveda, abogada constitucionalista y feminista, es precandidata para constituyente.
Su compromiso con organizac…",541,0,0,0,,es,False,,andres20ad,0.046186,0.506367,0.447447,NEU
1344356826071109633,2020-12-30 18:56:58+00:00,1344356826071109633,"RT @RafaelHarvey3: Hola a todas y todos! Les cuento q vamos un poquito más de medio camino, aún faltan firmas!! 📝
Si desean patrocinar, por…",487,0,0,0,,es,False,,andres20ad,0.026514,0.828748,0.144738,NEU
1344331194998140928,2020-12-30 17:15:08+00:00,1344331194998140928,"Está la #nuevacepa en Chile
Los casos han aumentado un 45%

¿Qué hace el gobierno?

¿Cierra las fronteras?
¿Restringe los permisos para cuidar la vida?

Nada de eso, da ""Permisos para Vacaciones""

Miren la imagen, vean como la #nuevacepa tiene al Reino Unido.

Gobierno inepto! https://t.co/gEJoNQBjzf",37,33,1,2,https://twitter.com/andres20ad/status/1344331194998140928/photo/1,es,False,,andres20ad,0.961691,0.035156,0.003154,NEG
1344326239578976256,2020-12-30 16:55:26+00:00,1344326239578976256,"La única diferencia entre los nazis y el Estado de Israel es la víctima de su genocidio. Los primeros los judíos, los segundos los palestinos. El centro Wiesenthal acusa de antisemita a Daniel Jadue. Yo acuso a ese centro de ser nazista por defender al Estado de Israel https://t.co/mSYaUOLCM5",198,396,29,10,https://twitter.com/andres20ad/status/1344326239578976256/photo/1,es,True,,andres20ad,0.837444,0.137581,0.024975,NEG
1344323207139119105,2020-12-30 16:43:23+00:00,1344322444920688640,"La derecha está contra el aborto, como lo está contra la educación sexual y lo estuvo contra el divorcio. A la derecha conservadora le aterra el cambio, más que nada que la gente elija. Argentina tiene ley de aborto, lo logró a pesar de la derecha. Así hay que hacerlo en Chile.",1,13,0,0,,es,False,7.628037797376164e+17,andres20ad,0.804438,0.157762,0.0378,NEG
1344070060281884672,2020-12-29 23:57:28+00:00,1344070060281884672,RT @pelaogalaz: Mañana miércoles 30 a las 20 hrs estaré conversando con Joan Jara. Un tremendo honor. Acompáñenos! Un abrazo y gracias por…,71,0,0,0,,es,False,,andres20ad,0.003322,0.04939,0.947288,POS
