id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1344712041962082304,2020-12-31 18:28:29+00:00,1344712041962082304,"RT @alejandramatus: Doscientos periodistas pedimos el premio Lenka Franulic para Manola Robles. Si viviste los 80, escuchabas su voz todos…",818,0,0,0,,es,False,,vagoilustrado,0.141137,0.62997,0.228893,NEU
1344704322458816513,2020-12-31 17:57:48+00:00,1344702815306985473,"@Gisel_7 El video está debajo, y explícitamente Daza dice que “Cecilia Morel cumplió cuarentena” y al término de esta, se hizo el PCR el que habría salido negativo. Es Daza la que habla de cuarentena, y no hay tal cosa como una “cuarentena” de 4 días. Saludos.",0,0,1,0,,es,False,193902107.0,vagoilustrado,0.149558,0.801319,0.049124,NEU
1344687147597627393,2020-12-31 16:49:33+00:00,1344684058194939905,@maatiiiiii1 Por nada. Saludos😉,0,3,0,0,,es,False,1723680860.0,vagoilustrado,0.007289,0.228549,0.764162,POS
1344686473216405504,2020-12-31 16:46:52+00:00,1344684058194939905,"@maatiiiiii1 Si ves el video de abajo del mismo tuit (de lo que dijo Daza) dice que Morel cumplió su cuarentena (según la norma establecida), y al termino de ésta se hizo el PCR y le salió negativo. Y es imposible que hiciera una cuarentena de casi 4 días. Saludos",19,81,1,0,,es,False,1723680860.0,vagoilustrado,0.62213,0.368861,0.009009,NEG
1344684311015018496,2020-12-31 16:38:17+00:00,1344684058194939905,"Acá lo señalado por Paula Daza (respecto a Cecilia Morel) hoy, señalando que la Primera Dama cumplió la cuarentena a su regreso a Chile desde Miami: https://t.co/NmGgbV8D6h",156,253,38,23,https://twitter.com/vagoilustrado/status/1344684311015018496/video/1,es,False,168453688.0,vagoilustrado,0.114827,0.772118,0.113055,NEU
1344684058194939905,2020-12-31 16:37:17+00:00,1344684058194939905,"Paula Daza dice que Cecilia Morel cumplió con la cuarentena al llegar a Chile desde Miami, y ella cumplió la cuarentena. 

A menos que la cuarentena sea de 4 días, lo que dice Daza es FALSO. Morel llegó el 13 diciembre, y el 17 diciembre estaba en la actividad #LaRutadelaVacuna: https://t.co/cwUvVVWUWa",2321,2721,144,123,https://twitter.com/vagoilustrado/status/1344684058194939905/video/1,es,False,,vagoilustrado,0.241279,0.724853,0.033868,NEU
1344631423089725440,2020-12-31 13:08:07+00:00,1344631423089725440,"RT @delosquesobran: 🛑 REPORTAJES | Héctor Monroy, padre de Itzel dice que su hija tenía un futuro prometedor como cirujana dentista, algo p…",129,0,0,0,,es,False,,vagoilustrado,0.303182,0.597685,0.099133,NEU
1344409826386964483,2020-12-30 22:27:35+00:00,1344409826386964483,"Hace semanas expertos pedían cerrar el Aeropuerto. Ahora sabemos que las prioridades del Gobierno siguen siendo satisfacer los caprichos del monarca y su familia: 

Cecilia Morel viajó de vacaciones a Miami cuando contagios por Covid mostraban un aumento: https://t.co/7rtQmN0UzK https://t.co/XMPA06btEE",680,1131,43,25,https://www.ciperchile.cl/2020/12/30/cecilia-morel-viajo-de-vacaciones-a-miami-cuando-los-contagios-por-covid-ya-mostraban-un-aumento/,es,False,,vagoilustrado,0.931961,0.062404,0.005635,NEG
1344349611574624258,2020-12-30 18:28:18+00:00,1344349611574624258,RT @InterferenciaCL: [General (r) de Ejército] INTERFERENCIA tuvo acceso a la declaración judicial de Ricardo Toro como imputado en el caso…,249,0,0,0,,es,False,,vagoilustrado,0.505487,0.455622,0.038891,NEG
1344263762602299392,2020-12-30 12:47:10+00:00,1344263762602299392,"A los cientos de memes de ayer, ahora se sumó Julio Cesar Rodríguez parodiando (en ""homenaje"") a la subsecretaria Paula Daza y su cartelito improvisado para hacer denuncias... 🤷🏽‍♂️#ContigoCHV: https://t.co/MztuXAvqwh",352,1235,25,21,https://twitter.com/vagoilustrado/status/1344263762602299392/video/1,es,False,,vagoilustrado,0.725094,0.263778,0.011128,NEG
1344209807746752513,2020-12-30 09:12:47+00:00,1344209807746752513,"Y es ley: Argentina permitirá a las mujeres decidir sobre sus cuerpos, y si quieren ser madres o no:

A diferencia de 2018, esta vez el Senado aprobó por 38 a favor, 29 en contra y 1 abstención, la legalización del aborto hasta la semana 14 de embarazo.

Acá el histórico momento: https://t.co/UtTFM3thH2",104,534,9,15,https://twitter.com/vagoilustrado/status/1344209807746752513/video/1,es,False,,vagoilustrado,0.083621,0.742277,0.174102,NEU
1344129474397429761,2020-12-30 03:53:34+00:00,1344121956287852544,"@Canelonli Sí. Pero siendo justos, ha habido argumentos (en el Senado argentino) que nada tienen que envidiarle a un Moreira, una Van Rysselberghe o un Kast. Saludos.",0,5,2,0,,es,False,394362187.0,vagoilustrado,0.106481,0.483172,0.410347,NEU
1344126328556154881,2020-12-30 03:41:04+00:00,1344121956287852544,"@volar02 Hola, sí. Me refería a la nomenclatura del Senado y al bloque por el que hablaba: https://t.co/oteSjCiCs9 Saludos.",0,3,0,0,https://www.senado.gob.ar/senadores/senador/494,es,False,9.842598936192901e+17,vagoilustrado,0.054654,0.879151,0.066195,NEU
