id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1333550736706301953,2020-11-30 23:17:26+00:00,1333550736706301953,"Se equivoca, senadora. Las pensiones si pagan impuestos. Si usted dice que el retiro es “pensión adelantada” entonces debieran pagar impuestos. https://t.co/livIsMREqT",3,29,4,0,https://twitter.com/ximerincon/status/1333456246662377474,es,False,,FrancoBassoSotz,0.825507,0.157805,0.016688,NEG
1333549837674041349,2020-11-30 23:13:52+00:00,1333549837674041349,Es un tremendo error pensar que se puede tener un estado de bienestar solo metiéndole mano a los “super ricos”. https://t.co/JQzif4FKyd,6,103,23,2,https://twitter.com/T13/status/1333502549987647490,es,False,,FrancoBassoSotz,0.981527,0.014428,0.004045,NEG
1333529490174201859,2020-11-30 21:53:00+00:00,1333529490174201859,"RT @ipoduje: Impresentable campaña de @defensorianinez incentivando que niños, niñas y adolescentes vulneren reglas básicas de convivencia…",305,0,0,0,,es,False,,FrancoBassoSotz,0.972953,0.021444,0.005603,NEG
1333408147340472321,2020-11-30 13:50:50+00:00,1333143693692456966,@marcelgoic Prefiero lo de ayer a elección a dedo.,0,0,0,0,,es,False,1.2899788685610557e+18,FrancoBassoSotz,0.589059,0.394971,0.015969,NEG
1333362678929248259,2020-11-30 10:50:09+00:00,1333143693692456966,@marcelgoic Yo creo que se podría avanzar en poner incentivos u obligaciones a los partidos para que participen,0,0,1,0,,es,False,1.2899788685610557e+18,FrancoBassoSotz,0.092379,0.767708,0.139913,NEU
1333223537566490624,2020-11-30 01:37:16+00:00,1333223537566490624,"RT @juanenriquepi: El Frente Amplio es una minoría dentro de la oposición. Legítima, competitiva, desafiante e inteligente, a la cual hay q…",30,0,0,0,,es,False,,FrancoBassoSotz,0.111446,0.520575,0.367979,NEU
1333185553408401416,2020-11-29 23:06:19+00:00,1333185553408401416,"RT @lucialopezchile: Así como hay fuerzas sobre reprentadas en los medios tradicionales, hoy se confirma cuan sobre representadas están otr…",45,0,0,0,,es,False,,FrancoBassoSotz,0.759165,0.217935,0.0229,NEG
1333174801687597056,2020-11-29 22:23:36+00:00,1333174801687597056,La ex-concertación es el pacto más votado. https://t.co/XXyCeAoCqW,2,16,6,1,https://twitter.com/ServelChile/status/1333172467439968257,es,False,,FrancoBassoSotz,0.043856,0.75807,0.198074,NEU
1333143693692456966,2020-11-29 20:19:59+00:00,1333143693692456966,Igual una #Primarias2020 es mejor que escoger candidatos a dedo. Aunque voten 10.000 personas.,7,69,7,2,,es,False,,FrancoBassoSotz,0.110952,0.652835,0.236213,NEU
1333083856535228419,2020-11-29 16:22:13+00:00,1333052357534486529,@kennethbunker @lopehan Y cuál es tu estimación?,0,0,0,0,,es,False,133468187.0,FrancoBassoSotz,0.064413,0.913999,0.021589,NEU
