id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1333557646444654592,2020-11-30 23:44:53+00:00,1333557646444654592,"RT @PipeHenriquezO: Gracias por la confianza querido amigo y compañero @FelipeParadaM

Primarias a la alcaldía de Providencia: Periodista y…",23,0,0,0,,es,False,,FelipeParadaM
1333555188955836418,2020-11-30 23:35:07+00:00,1333548647112388608,@ZurdoKrlo @180_cl Vamos que vamos!!!! 🔥,0,0,0,0,,es,False,1234191845577646082,FelipeParadaM
1333550966319304704,2020-11-30 23:18:21+00:00,1333515361703104512,@F___Z___M @PipeHenriquezO @ElUniversalCL Bacan!! En los próximos días te enviaré un formulario donde estaremos canalizando los apoyos 🖤,0,0,0,0,,es,False,1145515967696580608,FelipeParadaM
1333550226423091200,2020-11-30 23:15:24+00:00,1333515361703104512,@F___Z___M @PipeHenriquezO @ElUniversalCL Muchas gracias!!! Vamos con todo y necesitaremos del apoyo de todes para hacer historia ✌🏼,0,0,0,0,,es,False,1145515967696580608,FelipeParadaM
1333550084311683073,2020-11-30 23:14:50+00:00,1333544871139958797,"@majive3105 Gracias!! Vamos con todo, será una campaña de la que necesitaremos a todes para hacer historia 🔥✌🏼",1,1,0,0,,es,False,1205297037870338048,FelipeParadaM
1333549977071624194,2020-11-30 23:14:25+00:00,1333549977071624194,RT @majive3105: Vamos sería un tremendo alcalde,1,0,0,0,,es,False,,FelipeParadaM
1333549342599360512,2020-11-30 23:11:54+00:00,1333549342599360512,"RT @180_cl: En #Providencia esta en marcha un proceso de construcción de las organizaciones sociales, territoriales y políticas. Avanzaremo…",15,0,0,0,,es,False,,FelipeParadaM
1333549273259118594,2020-11-30 23:11:37+00:00,1333548060228587520,"@BUCAAREI Sip, participare de la primaria ciudadana organizada por @municiudaprovi",0,1,0,0,,es,False,99094471,FelipeParadaM
1333547301944614912,2020-11-30 23:03:47+00:00,1333543771275923462,"@TamaraCasado_V @emischneiderv Son vinculantes, es un compromiso :3 las organizaciones sociales y políticas de providencia que concurrimos a este esfuerzo unitario @municiudaprovi",0,0,0,0,,es,False,295849575,FelipeParadaM
1333547089536577541,2020-11-30 23:02:56+00:00,1333543771275923462,@emischneiderv Gracias compañera. Vamos con todo ✌🏼🖤🔥,0,0,0,0,,es,False,759065550186246148,FelipeParadaM
