id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
826578808379678721,2017-01-31 23:51:59+00:00,826578808379678721,Colegio Médico de Concepción preocupado por incertidumbre en el estado de las negociaciones entre isapre Masvida y Southern Cross,4,1,0,0,,es,False,,S_Schwartzmann,0.655687,0.32145,0.022863,NEG
826578530137997312,2017-01-31 23:50:53+00:00,826578530137997312,"Hospital de Lota logró Acreditación en Salud por tres años, requisito para entregar prestaciones de Garantías Explícitas en Salud",6,10,0,2,,es,False,,S_Schwartzmann,0.064489,0.774645,0.160866,NEU
826578266702147584,2017-01-31 23:49:50+00:00,826578266702147584,Ministra de Vivienda anunció que partió la reconstrucción en Región del Biobío y una semana se postergó el inicio del Festival de Dichato,3,0,0,0,,es,False,,S_Schwartzmann,0.195473,0.716064,0.088463,NEU
826578037525315586,2017-01-31 23:48:55+00:00,826578037525315586,Cinco focos en sector de Los Puentes en Concepción y Autopista del Itata a Penco. Cerro Las Pataguas lo más complejo. Se quemó sede vecinal,15,1,0,0,,es,False,,S_Schwartzmann,0.903096,0.088149,0.008755,NEG
826577130054107136,2017-01-31 23:45:19+00:00,826577130054107136,"Vecinos de Dichato, tras pasar mucho susto por el fuego critican cercanía de bosques y la cantidad de basura y ramas secas bajo los árboles",11,4,1,1,,es,False,,S_Schwartzmann,0.869275,0.114065,0.01666,NEG
826576726352347136,2017-01-31 23:43:43+00:00,826576726352347136,"Hércules C-130 hizo 7 lanzamientos en el día en Santa Cruz de Cuca, Chillán",11,8,0,0,,es,False,,S_Schwartzmann,0.061553,0.730089,0.208358,NEU
826575548654682112,2017-01-31 23:39:02+00:00,826575548654682112,"El súper tanque supera su marca. Realiza quinto vuelo al Maule, El primero fue a parte alta de Dichato  Coincide con operación del Ilyushin",9,10,1,1,,es,False,,S_Schwartzmann,0.048402,0.723799,0.227798,NEU
826575188628209665,2017-01-31 23:37:36+00:00,826575188628209665,"En Portezuelo, bomberos acusa a dos jóvenes que prendían fuego a su predio para cobrar seguro, tras malos resultados por escasez hídrica",13,3,0,2,,es,False,,S_Schwartzmann,0.798069,0.184881,0.017049,NEG
826574877100474369,2017-01-31 23:36:22+00:00,826574877100474369,"Incomunicado brigadista de Conaf acusado por incendio que causó la muerte de dos carabineros, un bombero y la destrucción de 1.190 casas",27,5,0,2,,es,False,,S_Schwartzmann,0.870679,0.113295,0.016026,NEG
826574639442829313,2017-01-31 23:35:25+00:00,826574639442829313,Con firma mensual quedó jóven que simuló ser miembro de FF.AA en Hualqui,6,2,1,1,,es,False,,S_Schwartzmann,0.246381,0.669844,0.083775,NEU
