id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
826575572151234562,2017-01-31 23:39:08+00:00,826575572151234562,RT @latercera: 🔴 #AlertaLT | @onemichile declara Alerta Roja por incendio forestal en la comuna de Talagante https://t.co/gDfNmWx5nQ,49,0,0,0,https://twitter.com/latercera/status/826570098420899840/photo/1,es,False,,alegriagonzaa,0.364571,0.578772,0.056657,NEU
826575186463952896,2017-01-31 23:37:36+00:00,826575186463952896,RT @Aguillonismo: Lugareños de Santa Cruz de Cuca salvan a sus amimales ante foco activo de incendio @Cooperativa #CooperativaAyuda https:/…,28,0,0,0,,es,False,,alegriagonzaa,0.196076,0.720796,0.083128,NEU
826574189863780352,2017-01-31 23:33:38+00:00,826574189863780352,20:33 || #URGENTE #Talagante VOLUNTARIO CON QUEMADURA en su pierna. 5 cms. y contaminada. Se gestiona traslado a centro asistencial @biobio,20,2,0,0,,es,False,,alegriagonzaa,0.273347,0.694009,0.032645,NEU
826573074866827264,2017-01-31 23:29:12+00:00,826573074866827264,RT @VallesdelBiobio: Reparto de agua potable en los sectores afectados por incendio forestal del Puente 3 en Florida @MOPBiobio @biobio @tv…,7,0,0,0,,es,False,,alegriagonzaa,0.143563,0.747876,0.108561,NEU
826573026103799808,2017-01-31 23:29:01+00:00,826573026103799808,[20:28]#Independencia Sale RX8 Q8 H4 B2 @cbsantiago a accidente vehicular en Fermin Vivaceta c/ Costanera Norte @reddeemergencia @biobio,0,0,0,0,,es,False,,alegriagonzaa,0.209939,0.700006,0.090055,NEU
826570922941374464,2017-01-31 23:20:39+00:00,826570416177152000,@raulitolindo ta cerca pero no ha llegado,0,0,0,0,,es,False,152451165.0,alegriagonzaa,0.160027,0.818555,0.021418,NEU
826570416177152000,2017-01-31 23:18:38+00:00,826570416177152000,santa marta maestro. https://t.co/kck9WkYS8B,0,0,1,0,https://twitter.com/raulitolindo/status/826569869617459200,it,False,,alegriagonzaa,0.043802,0.232348,0.72385,POS
826569800893792256,2017-01-31 23:16:12+00:00,826569800893792256,[20:16] Sale B4 BX6 #Maipú BX8 #MetropolitanoSur B2 #Conchali #Huechuraba en apoyo a INCENDIO FORESTAL #Talagante @reddeemergencia,0,0,0,0,,en,False,,alegriagonzaa,0.174763,0.764986,0.06025,NEU
826569354066161665,2017-01-31 23:14:25+00:00,826569354066161665,[20:14] Situación INCENDIO FORESTAL en #Talagante (@Palmabarrueto) @reddeemergencia @biobio https://t.co/CIO8rovX7W,2,0,1,0,https://twitter.com/alegriagonzaa/status/826569354066161665/photo/1,es,False,,alegriagonzaa,0.340898,0.510972,0.14813,NEU
826567980460994560,2017-01-31 23:08:58+00:00,826567980460994560,"RT @Bomba_Decima: Se informa de fuga de gas al interior de laboratorio, Quilín y Américo Vespucio, Peñalolén. Bomberos Ñuñoa en camino",6,0,0,0,,es,False,,alegriagonzaa,0.293445,0.607273,0.099282,NEU
