id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
826577954230636544,2017-01-31 23:48:36+00:00,826577954230636544,Bomberos de Alerce no tendrían equipamiento para enfrentar emergencias en Puerto Montt https://t.co/kuyWWpa554 https://t.co/Lhg1pygpvg,48,6,4,3,http://rbb.cl/ftr3,es,False,,biobio,0.75886,0.205002,0.036138,NEG
826572831609724930,2017-01-31 23:28:14+00:00,826572831609724930,🔴AHORA | Aviso de bomba en Aeropuerto La Araucanía de Temuco después que pasajero avisara que llevaba un artefacto explosivo.,269,55,46,39,,es,False,,biobio,0.502522,0.451973,0.045505,NEG
826569476053286913,2017-01-31 23:14:54+00:00,826569476053286913,Fiscalía descarta que existan vínculos entre incendios y grupos mapuche https://t.co/Qo4ncaJuJQ https://t.co/Cdc7QYPruQ,136,75,30,27,http://rbb.cl/ftrh,es,False,,biobio,0.494854,0.410635,0.094511,NEG
826569164777205766,2017-01-31 23:13:40+00:00,826569164777205766,Controlarán venta de combustibles líquidos en La Araucanía https://t.co/A2zl7w3Aiv https://t.co/6Vo5vfyCIL,26,13,7,3,http://rbb.cl/ftrf,es,False,,biobio,0.207994,0.56512,0.226886,NEU
826568948908949504,2017-01-31 23:12:48+00:00,826568948908949504,Francisco Vidal: No deberíamos depender de la ayuda internacional ni de la solidaridad https://t.co/jvn8LodM0c https://t.co/jy6iWP2CPQ,131,185,263,100,http://rbb.cl/ftr7,es,False,,biobio,0.765085,0.202073,0.032842,NEG
826567863897034754,2017-01-31 23:08:30+00:00,826567863897034754,No Alto Maipo exige paralización del proyecto tras anuncio de sanción por parte de la SMA https://t.co/jQOWOBtStg https://t.co/OSYtXGL6i4,47,18,6,0,http://rbb.cl/ftr9,es,False,,biobio,0.62561,0.326333,0.048056,NEG
826566976541716481,2017-01-31 23:04:58+00:00,826565225327554560,SuperTanker llega a Santiago tras descarga en La Polcura: Ilyushin culminó operaciones https://t.co/GXPnMkW1fW https://t.co/oDOeaSjqMu,16,25,2,0,http://rbb.cl/fth5,ca,False,14638581.0,biobio,0.130581,0.648206,0.221213,NEU
826565225327554560,2017-01-31 22:58:01+00:00,826565225327554560,🔴 AHORA | SuperTanker llega a Santiago tras descarga en cercanías de Navidad https://t.co/GXPnMkW1fW,32,77,3,1,http://rbb.cl/fth5,es,False,,biobio,0.351548,0.58291,0.065542,NEU
826562817604063234,2017-01-31 22:48:27+00:00,826562817604063234,Continúa sin control incendio en Navidad: van 16 casas destruidas https://t.co/vCmaj5bin8 https://t.co/tYoRFJjy51,96,27,3,3,http://rbb.cl/ftr1,es,False,,biobio,0.810527,0.161901,0.027572,NEG
826562291164467200,2017-01-31 22:46:21+00:00,826562291164467200,"🔴AHORA:  gran operativo del OS-9 de Carabineros en #Osorno deja 3 detenidos en calle Colón, cerca del terminal de buses https://t.co/zzATDA746l",17,11,2,1,https://twitter.com/biobio/status/826562291164467200/photo/1,es,False,,biobio,0.511776,0.452878,0.035346,NEG
826559626103644160,2017-01-31 22:35:46+00:00,826559626103644160,Beto Cuevas y fin del grupo La Ley: no tengo ningún problema con mis ex compañeros https://t.co/zEcq0YSVYz https://t.co/2wPno0sYuh,8,22,1,2,http://rbb.cl/ftqz,es,False,,biobio,0.351336,0.593151,0.055513,NEU
826559501339852800,2017-01-31 22:35:16+00:00,826559501339852800,Entregan serie de medidas preventivas por marejadas que se mantendrán hasta el viernes desde Arica a Los Lagos https://t.co/lKWXv5zBoo https://t.co/xr2PF13IfF,23,11,1,0,http://rbb.cl/ftqt,es,False,,biobio,0.163928,0.644874,0.191197,NEU
826559100360204289,2017-01-31 22:33:40+00:00,826559100360204289,Mantienen Alerta Amarilla en La Araucanía pese a no tener incendios forestales activos https://t.co/5Uvw7NkgNA https://t.co/5ywkA8eYk2,19,15,11,2,http://rbb.cl/ftqx,es,False,,biobio,0.302835,0.535781,0.161383,NEU
826556942655115264,2017-01-31 22:25:06+00:00,826556942655115264,EN VIVO: Unión Española visita a Cerro buscando dar 'primer golpe' en la Libertadores https://t.co/BIg9N6XLf9,0,3,1,0,http://www.biobiochile.cl/noticias/deportes/futbol/futbol-internacional/2017/01/30/union-espanola-visita-al-atletico-cerro-buscando-dar-primer-golpe-en-la-libertadores.shtml,es,False,,biobio,0.164052,0.672406,0.163542,NEU
826556388889522176,2017-01-31 22:22:54+00:00,826556388889522176,Helicóptero de combate nocturno no cuenta con tripulación ni autorización para operar https://t.co/83WaEa4YuZ https://t.co/qW474awOce,164,52,80,72,http://rbb.cl/ftqr,es,False,,biobio,0.668335,0.308074,0.023591,NEG
826553700894248960,2017-01-31 22:12:13+00:00,826553700894248960,🔴 AHORA | Ilyushin Il-76 no realizará más viajes durante esta jornada y tendrá mantención durante la noche https://t.co/GXPnMkW1fW,35,32,7,4,http://rbb.cl/fth5,es,False,,biobio,0.358599,0.610288,0.031113,NEU
826553162848956424,2017-01-31 22:10:05+00:00,826553162848956424,Los subsidios que utilizará el Gobierno para reconstruir casas dañadas por incendios https://t.co/NjuvZnAl8o https://t.co/IHpbFsj6DG,16,10,4,0,http://rbb.cl/ftqj,es,False,,biobio,0.383374,0.503114,0.113511,NEU
826552928290865152,2017-01-31 22:09:09+00:00,826552928290865152,Finalizan pericias a tren El Valdiviano ante su eventual responsabilidad en un incendio https://t.co/FO2sgGMqBK https://t.co/PLhXKZzNzp,10,4,3,4,http://rbb.cl/ftql,es,False,,biobio,0.429324,0.482372,0.088304,NEU
826551906822717444,2017-01-31 22:05:05+00:00,826551906822717444,Cervecería Kunstmann dona 6 mil litros de agua a damnificados por incendios en Hualañé https://t.co/L86mcRJ2Ru https://t.co/99i2jkAeoH,87,181,11,13,http://rbb.cl/ftea,es,False,,biobio,0.46019,0.391611,0.148199,NEG
826551085808640001,2017-01-31 22:01:50+00:00,826551085808640001,🔴 AHORA | SuperTanker realiza su quinto viaje del día con rumbo a Constitución https://t.co/GXPnMkW1fW https://t.co/BwVd1U1hZp,56,113,8,4,http://rbb.cl/fth5,es,False,,biobio,0.185144,0.689891,0.124965,NEU
826549364072013833,2017-01-31 21:54:59+00:00,826549364072013833,EN VIVO: 90´ ¡Terminó el partido! Liverpool y Chelsea igualaron en Anfield en duelo por Premier League https://t.co/foYx5za7Tw,1,2,1,0,http://www.biobiochile.cl/noticias/deportes/futbol/futbol-internacional/2017/01/31/liverpool-intentara-resucitar-en-premier-ante-un-chelsea-que-desborda-confianza.shtml,es,False,,biobio,0.085971,0.556769,0.357261,NEU
826548596065574912,2017-01-31 21:51:56+00:00,826548596065574912,Caso Luchsinger: justicia revoca arresto domiciliario a un imputado y fija fianza a otro https://t.co/f1e6NLKp0G https://t.co/v14BFWB7dK,29,4,6,2,http://rbb.cl/ftqb,es,False,,biobio,0.252507,0.658649,0.088844,NEU
826546224044072966,2017-01-31 21:42:30+00:00,826546224044072966,Bomberos de Los Ríos preocupados por nula respuesta a aumento de recursos pedido en 2015 https://t.co/vVz7MFGIg5 https://t.co/NHRDVnMUBg,49,21,5,1,http://rbb.cl/ftq7,es,False,,biobio,0.931997,0.061108,0.006895,NEG
826545297677570048,2017-01-31 21:38:50+00:00,826545297677570048,EN VIVO: 90´ (+5) ¡Terminó! Watford vence al Arsenal en el Emirates y acaba con racha 'gunner' https://t.co/rXYkvTl0Zu,1,2,0,1,http://www.biobiochile.cl/noticias/deportes/futbol/futbol-internacional/2017/01/31/arsenal-recibe-al-watford-buscando-un-triunfo-para-presionar-al-lider-chelsea.shtml,es,False,,biobio,0.090374,0.604824,0.304802,NEU
826544217505816578,2017-01-31 21:34:32+00:00,826544217505816578,"RT @VasquezDeChile: #SuperTanker listo para despegar. Quinto vuelo del día, mejorando su registro de las jornadas anteriores @biobio https:…",39,0,0,0,,es,False,,biobio,0.059627,0.692039,0.248334,NEU
826543288438124544,2017-01-31 21:30:51+00:00,826543288438124544,En Los Ángeles establecen único centro de acopio para ayudar a damnificados por incendios https://t.co/3JJ8BabzQP https://t.co/n3TxBta8e0,15,10,1,0,http://rbb.cl/ftpz,es,False,,biobio,0.251978,0.572676,0.175346,NEU
826541685555478534,2017-01-31 21:24:28+00:00,826541685555478534,"Con un 6,6% de desocupación se cierra el 2016 en la Región del Bío Bío - Talcahunao y Lota tienen el peor índice. https://t.co/t2n2KOjXPx https://t.co/szrocQazkF",12,2,2,1,http://rbb.cl/ftpr,es,False,,biobio,0.823442,0.157042,0.019516,NEG
826541577980039169,2017-01-31 21:24:03+00:00,826541577980039169,Supertanker llegó a combatir incendio en Dichato: Vecinos aplauden de emoción https://t.co/2YkvsgluIu https://t.co/MNuJsI6ui8,200,284,11,14,http://rbb.cl/ftjs,es,False,,biobio,0.034202,0.19566,0.770138,POS
826540028029464576,2017-01-31 21:17:53+00:00,826540028029464576,Turismo sería el responsable que Los Lagos sea la región con menor desempleo de Chile https://t.co/daGnkWGOrX https://t.co/fnROXva2I4,15,25,5,1,http://rbb.cl/ftpv,es,False,,biobio,0.491614,0.433551,0.074835,NEG
