id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
826580568951369728,2017-01-31 23:58:59+00:00,826580568951369728,La difícil exigencia por la que Emma Watson no protagonizó 'La La Land' → https://t.co/SDSDJP129k https://t.co/3NyFCrAe70,2,6,0,2,http://ebx.sh/2koeRGS,es,False,,24HorasTVN,0.832935,0.146444,0.020621,NEG
826579549538418694,2017-01-31 23:54:56+00:00,826579549538418694,"Para tener en cuenta: Nueve ""ilustres cesantes"" del fútbol chileno → https://t.co/56Q0okNOte https://t.co/ld475K1zdk",5,1,0,0,http://ebx.sh/2jAdBvP,es,False,,24HorasTVN,0.720015,0.233921,0.046063,NEG
826578830768926720,2017-01-31 23:52:05+00:00,826578830768926720,🔴 AHORA | Comienza cierre de campaña de #JuntosPorChile ¡Acompáñanos! → https://t.co/KwLhTRNztG https://t.co/UEndagNppE,20,39,4,2,http://bit.ly/7qdt4d,es,False,,24HorasTVN,0.289174,0.585558,0.125268,NEU
826578373283561472,2017-01-31 23:50:15+00:00,826578373283561472,Imágenes de la NASA permiten ver el incendio forestal desde el espacio → https://t.co/rEQ0P3RS1m https://t.co/Tceaqkt1yY,41,20,2,4,http://ebx.sh/2jAnsl3,es,False,,24HorasTVN,0.224962,0.53338,0.241658,NEU
826577820746911744,2017-01-31 23:48:04+00:00,826577820746911744,¡Terminó el 1er tiempo! Unión Española está venciendo a Cerro por Copa Libertadores [MIN A MIN] ⚽️ → https://t.co/0rRKErTxiC https://t.co/xKgvEYEnKC,2,4,2,0,http://bit.ly/2koiwo3,es,False,,24HorasTVN,0.104972,0.683551,0.211477,NEU
826577332831924225,2017-01-31 23:46:07+00:00,826577332831924225,Antonov llega a Chile con cuatro helicópteros de última generación para el combate de incendios → https://t.co/yguTfjaFi2 https://t.co/kdGD24EOpm,21,36,0,1,http://ebx.sh/2jArIRB,es,False,,24HorasTVN,0.147822,0.604866,0.247312,NEU
826577183774740481,2017-01-31 23:45:32+00:00,826577183774740481,¡Goooooooool de Unión Española! Carlos Salom (45+1') pone el 2-1 sobre Cerro [MIN A MIN] ⚽️ → https://t.co/0rRKErTxiC https://t.co/XGtbYE5Hrb,3,7,0,0,http://bit.ly/2koiwo3,es,False,,24HorasTVN,0.128707,0.604941,0.266352,NEU
826576178953744385,2017-01-31 23:41:32+00:00,826576178953744385,¡Gol de Cerro! Richard Pellejero (42') iguala ante Unión Española con un cabezazo tras un córner [MIN A MIN] ⚽️ → https://t.co/0rRKErTxiC https://t.co/Id8CMz9bsp,0,3,0,0,http://bit.ly/2koiwo3,es,False,,24HorasTVN,0.143841,0.618685,0.237474,NEU
826575827550744581,2017-01-31 23:40:08+00:00,826575827550744581,"Diez ""bombazos"" del fútbol europeo que pueden sorprender en el cierre del mercado → https://t.co/bcePDF73Yo https://t.co/XqPflB08NH",3,5,0,0,http://ebx.sh/2kolWap,es,False,,24HorasTVN,0.194021,0.432599,0.37338,NEU
826574556785758208,2017-01-31 23:35:06+00:00,826574556785758208,Revisa la parrilla del Festival de Viña del Mar 2017 → https://t.co/O9nLpM4YNN https://t.co/XrhzskvGGe,0,4,7,0,http://ebx.sh/2kojHUl,es,False,,24HorasTVN,0.093072,0.495802,0.411126,NEU
