id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
826580519492128769,2017-01-31 23:58:47+00:00,826580519492128769,RT @onemichile: Autoridades entregan ultimo reporte por incendios forestales https://t.co/dOqgR8UHT7,30,0,0,0,https://twitter.com/onemichile/status/826580205460389888/photo/1,es,False,,T13,0.394148,0.508434,0.097418,NEU
826577642564509697,2017-01-31 23:47:21+00:00,826577642564509697,RT @Tele13_Radio: Gobierno estudia crear una brigada forestal con aviones de la FACH https://t.co/hJmFcmoBgE https://t.co/bSxM8mUke3,21,0,0,0,http://t13.cl/198910,es,False,,T13,0.232314,0.577019,0.190668,NEU
826574087363379200,2017-01-31 23:33:14+00:00,826574087363379200,🔵 Fiscalía pedirá a Brasil testimonio de publicista que aludiría a campaña de Bachelet » https://t.co/7l1gdtfhHk https://t.co/9ST4VDAjql,32,9,5,8,http://bit.ly/2jSMX4C,es,False,,T13,0.483052,0.468919,0.048029,NEG
826572497361448960,2017-01-31 23:26:55+00:00,826572497361448960,RT @Tele13_Radio: Austria prohibirá el burka en espacios públicos https://t.co/uzi3mKy8xK https://t.co/lKESCeWhtM,6,0,0,0,http://t13.cl/198950,es,False,,T13,0.278685,0.584709,0.136606,NEU
826570400981192704,2017-01-31 23:18:35+00:00,826570400981192704,"🔵 Gobierno descarta ""tajantemente"" presunto vínculo de OAS con campaña de Bachelet »  https://t.co/hIFfSMFGCp https://t.co/O8GryN6YPG",0,2,5,7,http://bit.ly/2jRqBhq,es,False,,T13,0.531961,0.414165,0.053874,NEG
826569788524740608,2017-01-31 23:16:09+00:00,826569788524740608,RT @cadizpozo: Fiscalía pedirá a Brasil testimonio de publicista que aludiría a campaña de Bachelet https://t.co/vU2DM7wn65 vía @T13,11,0,0,0,http://t13.cl/199039,es,False,,T13,0.488345,0.417799,0.093856,NEG
826566787051446274,2017-01-31 23:04:13+00:00,826566787051446274,"📻 .@Tele13_Radio | Empresas Eléctricas e incendio en Pumanque: ""No existe evidencia de un cortocircuito"" » https://t.co/KSbjvXexZN https://t.co/21hmgDUWuD",18,3,2,0,http://bit.ly/2jSBT4V,es,False,,T13,0.628198,0.345859,0.025943,NEG
826563548918710277,2017-01-31 22:51:21+00:00,826563548918710277,"RT @Tele13_Radio: En #Página13 John Müller (@cultrun), analiza los primeros días - y decisiones- de @realDonaldTrump 📢 https://t.co/TU7FmoL…",3,0,0,0,,es,False,,T13,0.320047,0.58706,0.092893,NEU
826561972078518274,2017-01-31 22:45:05+00:00,826561972078518274,🔵 Contraloría toma razón de estatutos de universidades de O'Higgins y Aysén » https://t.co/34i3zzPh4B https://t.co/fA4HCupZG4,10,2,0,1,http://bit.ly/2jSvmau,es,False,,T13,0.439145,0.49537,0.065485,NEU
826559987803635714,2017-01-31 22:37:12+00:00,826559987803635714,🚁🔴 Avión Antonov llega a Chile con cuatro helicópteros para combatir incendios. FOTOS » https://t.co/kOWkEdbxCr https://t.co/XtyRDaran0,36,59,1,0,http://bit.ly/2jSHsjV,es,False,,T13,0.23185,0.672936,0.095214,NEU
826556292571529216,2017-01-31 22:22:31+00:00,826556292571529216,"🇻🇪 Polémico estreno de serie de TV sobre Hugo Chávez ""El Comandante"" » https://t.co/c2rgYm0Xj5 https://t.co/qcNMOZuPZd",4,1,0,0,http://bit.ly/2jSnpCp,es,False,,T13,0.355783,0.57185,0.072368,NEU
826554780835336193,2017-01-31 22:16:31+00:00,826554780835336193,"RT @Tele13_Radio: ""No existe evidencia en los sistemas de que un cortocircuito haya provocado los #IF"", Rodrigo Castillo @EElectricas 📢http…",9,0,0,0,,es,False,,T13,0.587347,0.398559,0.014093,NEG
