id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
826205327574048769,2017-01-30 23:07:54+00:00,826205327574048769,"Tras aterrizar en Chile y superar problemas con recarga de agua, #Ilyushin realizó su primera misión en Portezuelo. #ElLuchin @ActualidadRT https://t.co/W7PSLhtDr3",68,125,2,2,https://twitter.com/MauricioAmpuero/status/826205327574048769/video/1,es,False,,MauricioAmpuero
826089029292666880,2017-01-30 15:25:47+00:00,826089029292666880,Comienza abastecimiento del #Ilyushin. Su capacidad es de 42 toneladas de agua y cubre área de 50.000 m2. #TodosXChile #ElLuchin #IIFF https://t.co/HdFTTucu38,56,83,1,4,https://twitter.com/MauricioAmpuero/status/826089029292666880/photo/1,es,False,,MauricioAmpuero
825992891050909696,2017-01-30 09:03:46+00:00,825992891050909696,Llegó a Chile el #Ilyushin!!! https://t.co/GdoJ82Zjh7,38,62,4,3,https://twitter.com/MauricioAmpuero/status/825992891050909696/photo/1,es,False,,MauricioAmpuero
825809563609919488,2017-01-29 20:55:17+00:00,825809563609919488,"¿Dónde está El Luchin?
A la espera que aterrice en Chile desde Rusia el #Ilyushin, aquí algunos divertidos memes.

https://t.co/9jN89mQ5ec",45,47,7,2,http://es.rt.com/4x96,es,False,,MauricioAmpuero
825767710701260800,2017-01-29 18:08:58+00:00,825767710701260800,"Próximo a Chile está avión ruso #Ilyushin.
Su centro de operaciones será en Región de la Araucanía.
#IIFF #ElLuchin

https://t.co/3gkl4pESNW",46,52,4,2,https://es.rt.com/4x90,es,False,,MauricioAmpuero
825678947803361280,2017-01-29 12:16:16+00:00,825678947803361280,"El #Ilyushin se acerca a Chile!
-Capacidad 42 ton de agua
-Cubre 50.000 m2 x vuelo
-Llegan 12 expertos

#IIFF #ElLuchin @ActualidadRT https://t.co/v9fXiYlrix",205,242,13,16,https://twitter.com/MauricioAmpuero/status/825678947803361280/video/1,es,False,,MauricioAmpuero
825440257021718530,2017-01-28 20:27:47+00:00,825440257021718530,"Avión #Ilyushin IL-76 hace su primera escala en Marruecos. Desde Rusia a Chile llegaría este domingo.
#IIFF #ElLuchin @ActualidadRT https://t.co/9I2UzpnyH0",97,120,8,4,https://twitter.com/MauricioAmpuero/status/825440257021718530/photo/1,es,False,,MauricioAmpuero
825398111904419840,2017-01-28 17:40:19+00:00,825398111904419840,"Rusia confirma despegue de #Ilyushin cerca del medio día hora de Chile.
@biobio @Cooperativa @latercera @emol

https://t.co/cv5NHJuVMb",5,7,0,0,http://en.mchs.ru/mass_media/news/item/33070747/,es,False,,MauricioAmpuero
825390237631254528,2017-01-28 17:09:02+00:00,825390237631254528,"#OFICIAL: Avión de Rusia #Ilyushin IL-76 despegó desde Moscú al medio día hora de Chile. Hará escalas en Marruecos, Cabo Verde y Brasil. https://t.co/yxbktH1u6n",64,82,3,6,https://twitter.com/MauricioAmpuero/status/825390237631254528/photo/1,es,False,,MauricioAmpuero
825370206847516672,2017-01-28 15:49:26+00:00,825370206847516672,"Peores Incendios Forestales de Chile:
11 muertos
1.089 casas
3.270 damnificados
387.000 hectáreas
15 países ayudan

https://t.co/GZMWDAP6cM",76,48,8,3,https://es.rt.com/4x7j,es,False,,MauricioAmpuero
