id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
826555551307927552,2017-01-31 22:19:34+00:00,826555551307927552,RT @JosePatOyarce: @PiensaPrensa https://t.co/2o5RsOA9nL,1,0,0,0,https://www.youtube.com/watch?v=9fDmPOg_dUY,qme,False,,PiensaPrensa
826554036153376771,2017-01-31 22:13:33+00:00,826554036153376771,ARICA: Tripulantes emiten Declaración Pública por decisión de Subpesca que permite ingresar a 5 millas artesanales https://t.co/byQNqCLzUa … https://t.co/SxEzr4A2Bt,6,0,0,0,http://www.mundoacuicola.cl/?/6/63310/tripulantes-artesanales-de-arica-emiten-declaracion-publica-por-decision-de-subpesca,es,False,,PiensaPrensa
826551805505069057,2017-01-31 22:04:41+00:00,826551805505069057,CRÍTICA  SITUACIÓN se vive en Polcura el fuego avanza sin Control (19:01) https://t.co/kEXRL7tLrU,20,2,3,0,https://twitter.com/PiensaPrensa/status/826551805505069057/video/1,es,False,,PiensaPrensa
826548861967728643,2017-01-31 21:52:59+00:00,826548861967728643,CHILLAN: Incendio sin control. bomberos trabajando en la contención del fuego. Santa Cruz de Cuca. (18:52),9,1,0,0,,es,False,,PiensaPrensa
826547573917876225,2017-01-31 21:47:52+00:00,826547573917876225,AHORA ! EL TANKERO @GlobalSuperTank Realizó su 5ª salida desde el Aeropuerto pudahuel. Mientras bomberos comienzan a llenar el Tankero Ruso,2,5,0,0,,es,False,,PiensaPrensa
826546934626263044,2017-01-31 21:45:20+00:00,826546934626263044,FOCOS DE INCENDIOS en diferentes zonas de la Vega de Pupuya. (18:43) https://t.co/4ECZdg3d1C,5,2,2,0,https://twitter.com/PiensaPrensa/status/826546934626263044/video/1,es,False,,PiensaPrensa
826544697522913281,2017-01-31 21:36:27+00:00,826544697522913281,HELICÓPTERO EN PLENA FAENA de recolección de Agua en la Zona de La Vega de Pupuya via: @GeorgeEnOff https://t.co/iH5jO4oApr,17,9,0,2,https://twitter.com/PiensaPrensa/status/826544697522913281/video/1,es,False,,PiensaPrensa
826540619971559424,2017-01-31 21:20:14+00:00,826540619971559424,"LA POLCURA: Situación crítica, Bomberos recomiendan Evacuar. Fuego descontrolado en la Región de O`Higgns https://t.co/VFazEMa5jx",14,1,1,2,https://twitter.com/PiensaPrensa/status/826540619971559424/photo/1,es,False,,PiensaPrensa
826537129765433344,2017-01-31 21:06:22+00:00,826537129765433344,CONTRATISTA DE VTR no despedirá a bombero Alexis Aguilera. desvinculado por haber estado combatiendo incendios en los Ángeles. https://t.co/ZT1NII2Hoe,24,10,4,3,https://twitter.com/PiensaPrensa/status/826537129765433344/photo/1,es,False,,PiensaPrensa
826528407529857030,2017-01-31 20:31:43+00:00,826528407529857030,DETIENEN a 1 Subgerente técnico y 6 TRABAJADORES Subcontratistas de la empresa eléctrica CGE. https://t.co/R5TRUgBctu,20,5,1,1,https://twitter.com/PiensaPrensa/status/826528407529857030/photo/1,es,False,,PiensaPrensa
826526329931718657,2017-01-31 20:23:27+00:00,826526329931718657,"POLCURA, NAVIDAD: Vientos complican  situación. El fuego avanza Rápidamente por las quebradas. Ahora (17:20) https://t.co/s26iJC6vyT",32,6,0,0,https://twitter.com/PiensaPrensa/status/826526329931718657/video/1,es,False,,PiensaPrensa
826520526545887232,2017-01-31 20:00:24+00:00,826520526545887232,"RT @Roberto44031930: @PiensaPrensa @sebastianpinera Piraña No es weon,es Disléxico!! Y debería ser mimo,porque putas q tics.!!!",1,0,0,0,,es,False,,PiensaPrensa
826520173704278017,2017-01-31 19:59:00+00:00,826520173704278017,RT @amalexx: @PiensaPrensa @GeorgeEnOff ♫frágil como un volantin♫ sobre el cielo de polcura♫vuela ese gran avion♫apodado el luchin♫,2,0,0,0,,es,False,,PiensaPrensa
826519631355637761,2017-01-31 19:56:50+00:00,826484680258179074,"El Candidato presidencial @sebastianpinera se maneja super bien en bromas tipo ""Yanquilandia"" y EXPERTO en hacerse el won.",1,5,3,0,,es,False,13623532,PiensaPrensa
826518113600622592,2017-01-31 19:50:48+00:00,826518113600622592,"RT @PT92AF: @EduardoAlegri16 @sebastianpinera La mayoría de las chaquetas rojas están procesados por coimas y facturas falsas, no van a est…",50,0,0,0,,es,False,,PiensaPrensa
826497234514616321,2017-01-31 18:27:50+00:00,826497234514616321,"Tremendas imágenes ; EL TANQUERO RUSO ""EL Luchin""realizando  sus descargas sobre Polcura,  Navidad. @GeorgeEnOff  (15:27) https://t.co/8TR1Ufhdbh",95,66,4,2,https://twitter.com/PiensaPrensa/status/826497234514616321/photo/1,es,False,,PiensaPrensa
826476523515420673,2017-01-31 17:05:33+00:00,826476523515420673,"RT @ablanch4: @PiensaPrensa necesito difundir cómo alimentar y salvar a las 🐝,  me ayudas con un RT https://t.co/VySzmefAFV",38,0,0,0,https://twitter.com/ablanch4/status/826472836541845505/photo/1,es,False,,PiensaPrensa
