id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
826577227970125830,2017-01-31 23:45:42+00:00,826577227970125830,"Muchas gracias al curso. *2 A * del colegio. *San Jose* de #puertomontt
Donando agua jabon utiles de aseo.@RNE_ALPHA_2 @RNE_ZONAAUSTRAL https://t.co/ULiIqryKVP",16,27,0,0,https://twitter.com/reddeemergencia/status/826577227970125830/photo/1,es,False,,reddeemergencia
826566087114366976,2017-01-31 23:01:26+00:00,826566087114366976,#Penco Antena Telefonia Movil Colapsa Tras Incendio Forestal  @AutopistaItata km 68 cc @subtel_chile https://t.co/37ZV0NWm9F,35,3,1,1,https://twitter.com/aranda119/status/826556993842319361,es,False,,reddeemergencia
826565545432580096,2017-01-31 22:59:17+00:00,826565545432580096,"RT @acatenas: Incendio cerro sector La Herradura, Lonquén. @reddeemergencia @tvn https://t.co/wqIVrYPG0Y",63,0,0,0,https://twitter.com/acatenas/status/826556175432941569/photo/1,es,False,,reddeemergencia
826565439333482496,2017-01-31 22:58:52+00:00,826565439333482496,Es todo x hoy. Súper tanker e Ilyushin finalizan primer día de trabajo en conjunto. #CooperativaAyuda @Cooperativa https://t.co/pcZOz0RP9V,22,47,2,1,https://twitter.com/dmalverde/status/826565009409003520,es,False,,reddeemergencia
826558898509316096,2017-01-31 22:32:52+00:00,826558898509316096,RT @NIGGA_JOSE: EN DESARROLLO : Se activan 3 focos de incendio forestal en Carahue... https://t.co/xcltVzf1mq https://t.co/VM1d2i3yY3,30,0,0,0,http://www.elinformadorchile.com/2017/01/se-activan-3-focos-de-incendio-forestal.html?spref=tw,es,False,,reddeemergencia
826558693634355201,2017-01-31 22:32:03+00:00,826558693634355201,RT @catome: Comienza Incendio Forestal El Cometa camino Carahue a Pro. Saavedra. Novena Región.,27,0,0,0,,es,False,,reddeemergencia
826552698807975937,2017-01-31 22:08:14+00:00,826552480523776001,@IntendenciaLBO Continúa trabajo para combatir incendio en #Navidad: 1320 hectáreas quemadas hasta ahora y 16 viviendas destruidas,0,0,0,0,,es,False,216529990,reddeemergencia
826551864774770688,2017-01-31 22:04:55+00:00,826549427578032129,@alegriagonzaa 18:55 #Talagante Sale BX19 @cbsantiago a 3ra ALARMA DE INCENDIO FORESTAL en Cerro Lonquén cercano a Vertedero Santa Marta,3,0,0,0,,es,False,168017798,reddeemergencia
826551444744585216,2017-01-31 22:03:15+00:00,826551444744585216,RT @RNESANTIAGO: 19:02 en Independencia Accidente vehicular (10-4-3) B2 H4 Q8 RX8 Autopista Costanera Norte y Enlace Fermin Vivaceta https:…,4,0,0,0,,es,False,,reddeemergencia
826551328637911041,2017-01-31 22:02:47+00:00,826551328637911041,RT @Armada_Chile: Producto de las #marejadas no es seguro que ingreses al agua. Cuida tu vida y #RespetaelMar. https://t.co/N4xajOObkz http…,44,0,0,0,http://buff.ly/2knowgM,es,False,,reddeemergencia
826551298711490562,2017-01-31 22:02:40+00:00,826551298711490562,RT @Armada_Chile: Sabías? A bordo del avión P-295 va un representante de la #Conaf que ayuda a determinar los puntos de descarga del #Super…,65,0,0,0,,es,False,,reddeemergencia
826546905194835968,2017-01-31 21:45:13+00:00,826546905194835968,Llega a loza del grupo 10 #ilushyn  16:43,10,7,1,1,,es,False,,reddeemergencia
826546627586510849,2017-01-31 21:44:07+00:00,826546627586510849,RT @RNESANTIAGO: 18:43 en El Bosque 10-4-1 B1 RB1 Observatorio y Julio Covarrubias https://t.co/U4NvBzK3K3,4,0,0,0,https://central132.cl/llamado-103403?2,es,False,,reddeemergencia
826546609156669440,2017-01-31 21:44:02+00:00,826546609156669440,Sale #supertanker  18:43  a #Constitucion  #apoyandochile,15,11,0,0,,ht,False,,reddeemergencia
826546014953799681,2017-01-31 21:41:41+00:00,826546014953799681,"RT @Cooperativa: Conaf entregó nuevo balance de incendios forestales: 59 controlados, 83 en combate y nueve extinguidos https://t.co/fY9f8o…",21,0,0,0,,es,False,,reddeemergencia
826541298467401728,2017-01-31 21:22:56+00:00,826540824016084992,@24HorasTVN + de 600 brigadistas extranjeros de 14 países están ayudando a Chile a combatir incendios forestales ¡GRACIAS POR EL APOYO! ❤👏,20,41,1,1,,es,False,90227660,reddeemergencia
826541050965671937,2017-01-31 21:21:57+00:00,826541050965671937,"RT @VallesdelBiobio: Bulldozer realizando trabajos de corta fuegos en sector Pataguas, Puente 3 comuna de Florida @MOPBiobio @biobio @biobi…",37,0,0,0,,es,False,,reddeemergencia
826541026529701889,2017-01-31 21:21:51+00:00,826541026529701889,RT @GeorgeEnOff: Helicópteros cargan agua en sector La Vega de Pupuya en Navidad. @reddeemergencia @alegriagonzaa @artesaniafm @biobio @RNE…,84,0,0,0,,es,False,,reddeemergencia
826534651976105985,2017-01-31 20:56:31+00:00,826534651976105985,RT @Cooperativa: Helicópteros traídos por el #Anotonov permanecerán en Chile durante toda la temporada de incendios forestales https://t.co…,53,0,0,0,,es,False,,reddeemergencia
826528465709101057,2017-01-31 20:31:57+00:00,826528465709101057,RT @RNESANTIAGO: #supertankTomé en estos momentos producto de los incendios en la provincia de Concepción. Vía @Jorgecoke_1,12,0,0,0,,es,False,,reddeemergencia
826528270938206209,2017-01-31 20:31:10+00:00,826528270938206209,RT @Emol: DGAC responde a Conaf e informa que sólo un helicóptero extranjero tiene autorización para operar durante la noche https://t.co/p…,20,0,0,0,,es,False,,reddeemergencia
826528186741690369,2017-01-31 20:30:50+00:00,826528186741690369,"RT @biobioinforma1: #Ahora #Laja Se despacha Bomberos ( unidad B-2), a incendio de camión en ruta Q-90 se desconoce si chofer esta... https…",8,0,0,0,,es,False,,reddeemergencia
826528088364351488,2017-01-31 20:30:27+00:00,826528088364351488,RT @PrimeraCoquimbo: #Imagenes incendio sector #Talinay @PrimeraCoquimbo https://t.co/iWnydkbj91,25,0,0,0,https://twitter.com/felixuls/status/826526909404151811,es,False,,reddeemergencia
826527898467201024,2017-01-31 20:29:41+00:00,826527898467201024,RT @radiomaderofm: [Ahora] 🔴 #Ovalle: así está el incendio forestal dentro de Parque Nacional Fray Jorge (Foto: @Carabdechile) #Coquimbo ht…,71,0,0,0,,es,False,,reddeemergencia
826527383146618880,2017-01-31 20:27:38+00:00,826527383146618880,RT @Bomba_LoMiranda: Accidente de tránsito en la entrada de #SanVicenteTT https://t.co/8lSdOchsnC,9,0,0,0,https://twitter.com/Bomba_LoMiranda/status/826526886541066243/photo/1,es,False,,reddeemergencia
826524189066719233,2017-01-31 20:14:57+00:00,826524189066719233,RT @alegriagonzaa: [17:06]#Talagante Reactivación de INCENDIO FORESTAL en Sector Hornos de Lonquén (@Palmabarrueto) @reddeemergencia @biobi…,30,0,0,0,,es,False,,reddeemergencia
826523769061654528,2017-01-31 20:13:17+00:00,826523769061654528,"RT @EnelClientesCL: #PosteChocado en Av. Américo Vespucio con Sta. Julia, Comuna La Florida. Conducir con precaución. https://t.co/cYtSl9S3…",12,0,0,0,,es,False,,reddeemergencia
826523694071701504,2017-01-31 20:12:59+00:00,826523694071701504,RT @Carabdechile: 🔴| #Ovalle:  Carabineros monitorea desde el aire comportamiento de incendio forestal dentro de Parque Nacional Fray Jorge…,185,0,0,0,,es,False,,reddeemergencia
826521650187423745,2017-01-31 20:04:52+00:00,826521650187423745,RT @biobio: Ilyushin Il-76 retorna a Santiago y SuperTanker despega con rumbo a Constitución https://t.co/GXPnMkW1fW https://t.co/BDtNDm9Sne,24,0,0,0,http://rbb.cl/fth5,es,False,,reddeemergencia
826521581136596992,2017-01-31 20:04:35+00:00,826521581136596992,RT @SegundaChillan: Se da Alarma de Incendio General en Santa Cruz de Cuca Sector Quinchamalí @CBCH_Super @delafu344 @Jzg1985,27,0,0,0,,es,False,,reddeemergencia
826521254312157186,2017-01-31 20:03:17+00:00,826521254312157186,"RT @Mangelica60: INCENDIO SIN CONTROL SANTA CRUZ DE CUCA, EL FUEGO CRUZÓ UN RÍO POR LAS COPAS DE LOS ÁRBOLES.SE QUEMAN BERRIES Y AVELLANOS.…",69,0,0,0,,es,False,,reddeemergencia
826521153615360007,2017-01-31 20:02:53+00:00,826521153615360007,RT @RNESANTIAGO: https://t.co/bADL8FRL1q,10,0,0,0,https://twitter.com/Re_7_Gustavo/status/826519275640872961,zxx,False,,reddeemergencia
826519767876005890,2017-01-31 19:57:23+00:00,826519767876005890,RT @Re_7_Gustavo: ☡ SUPERTANKER DESPEGANDO DESDE AEROPUERTO PUDAHUEL @GlobalSuperTank @WildfireChile #supertanker @reddeemergencia @RNESANT…,36,0,0,0,,es,False,,reddeemergencia
826519639110856705,2017-01-31 19:56:52+00:00,826519639110856705,"RT @hoycanete: 🔴Ahora 
Dos helicópteros  mas brigadas trabajan para combatir foco incendio forestal en sector estación Lanalhue https://t.c…",42,0,0,0,,es,False,,reddeemergencia
