id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
826579733089546245,2017-01-31 23:55:40+00:00,826579733089546245,Onemi decretó alerta roja en la comuna de Talagante en la región metropolitana producto de un incendio forestal https://t.co/AnDACGAkgg https://t.co/riJGkZ416E,7,3,1,0,http://bit.ly/2kjNM7E,es,False,,PublimetroChile
826578560131280896,2017-01-31 23:51:00+00:00,826578560131280896,Padres de Madeleine McCann pierden recurso contra la absolución del inspector del caso https://t.co/M6NAfL45An https://t.co/Tm7wYH4jEK,1,2,0,0,http://bit.ly/2jzSHNm,es,False,,PublimetroChile
826578057339113472,2017-01-31 23:49:00+00:00,826578057339113472,Ellen DeGeneres explica la agresión migratoria de Trump a través de 'Buscando a Dory' https://t.co/2HADBD2Qw8 https://t.co/JpOHrk9e4Z,2,3,1,0,http://bit.ly/2jzQx06,es,False,,PublimetroChile
826577557386559489,2017-01-31 23:47:01+00:00,826577557386559489,Incendio forestal afecta al parque nacional Fray Jorge https://t.co/qTkOibqpZk https://t.co/ymyaNm4iu0,9,4,0,6,http://bit.ly/2knU3Py,es,False,,PublimetroChile
826576803431059456,2017-01-31 23:44:01+00:00,826576803431059456,En lo que debes fijarte cuando utilizas un bus interurbano https://t.co/f4tuBp3yQQ https://t.co/TsVH91Va4x,2,0,0,0,http://bit.ly/2jiRNom,es,False,,PublimetroChile
826575539909513216,2017-01-31 23:39:00+00:00,826575539909513216,Dólar cierra enero con caída superior a $20 https://t.co/ZF8tbz4Vt8 https://t.co/fgsxaIzYpZ,2,1,0,0,http://bit.ly/2jAu03d,es,False,,PublimetroChile
826575039952781314,2017-01-31 23:37:01+00:00,826575039952781314,"Felipe Mora alaba fichaje de #DavidPizarro en @udechile: ""Nos viene muy bien"" https://t.co/B9gNEErsD2 https://t.co/HLh9b2HO1Z",0,1,0,0,http://bit.ly/2jzcs7K,es,False,,PublimetroChile
826574282545262594,2017-01-31 23:34:00+00:00,826574282545262594,"Nueva Batman se queda sin director: Ben Affleck renunció al cargo
https://t.co/RGQyKj2amq https://t.co/JL4cHESOfU",5,2,0,1,http://bit.ly/2jzWjyN,es,False,,PublimetroChile
826568495814971392,2017-01-31 23:11:00+00:00,826568495814971392,Transbank suspende cobro de servicios de red en comercios de comunas afectadas por incendios forestales &gt;&gt; https://t.co/TRu8qML9Pa https://t.co/5cmn06KTgf,6,4,1,1,http://bit.ly/2ko4sL3,es,False,,PublimetroChile
826567495821717505,2017-01-31 23:07:02+00:00,826567495821717505,CCS asegura que Ley de Etiquetado vulnera tratados de libre comercio firmados por Chile https://t.co/rSx7lcBayB https://t.co/Je8e6f3V6O,2,0,1,0,http://bit.ly/2kofe42,es,False,,PublimetroChile
826566735306317824,2017-01-31 23:04:01+00:00,826566735306317824,Alcalde de Talca confirma festival: “Queremos transformarlo en una fiesta solidaria” https://t.co/XHxoIKJgwe https://t.co/vzZveA8nnv,4,4,0,0,http://bit.ly/2ko2D0F,es,False,,PublimetroChile
826565476922830848,2017-01-31 22:59:01+00:00,826565476922830848,Criatura marina sería el ancestro más antiguo de los humanos https://t.co/p5MExbKJk5 https://t.co/mRS7e0WGdz,4,2,1,0,http://bit.ly/2kmO1ig,es,False,,PublimetroChile
826564971223855105,2017-01-31 22:57:00+00:00,826564971223855105,"Wayne Shaw, el arquero de 115 kilos que causa sensación y desafiará al Arsenal de Alexis https://t.co/UZSAzDRgqt https://t.co/9A2ey5FG6R",2,0,0,1,http://bit.ly/2knxQ4q,es,False,,PublimetroChile
826563462780317696,2017-01-31 22:51:00+00:00,826563462780317696,#SuperTanker avión hizo tres descargas para combatir incendio en #Dichato https://t.co/Pki6TeM9Fa https://t.co/M9aRsnwYJZ,6,4,0,0,http://bit.ly/2kn7SOx,es,False,,PublimetroChile
826562455283212289,2017-01-31 22:47:00+00:00,826562455283212289,Trabajadores de Latam Argentina anuncian paro de 24 horas &gt;&gt; https://t.co/uie8EX0dWx https://t.co/dzhZTCCAsU,6,4,0,1,http://bit.ly/2ko6dIh,es,False,,PublimetroChile
826561699540979712,2017-01-31 22:44:00+00:00,826561699540979712,"""El Comandante"": Prohíben en Venezuela serie sobre Hugo Chávez
https://t.co/bXG2klHsv8 https://t.co/TJOSqzhKdd",3,1,0,0,http://bit.ly/2ko0S3A,es,False,,PublimetroChile
826560441736261632,2017-01-31 22:39:00+00:00,826560441736261632,Declaran culpables a tres de los cinco acusados de atacar con molotov cuartel de la PDI https://t.co/Ie4U0r92jb https://t.co/7HSsTWCeg5,4,2,1,0,http://bit.ly/2knFXh8,es,False,,PublimetroChile
826559951447420933,2017-01-31 22:37:03+00:00,826559951447420933,🔴 Sigue el minuto a minuto de todo que esta sucediendo respecto a los incendios forestales en el sur del país https://t.co/AnDACGAkgg https://t.co/Kz4Dnwf9vn,7,1,0,0,http://bit.ly/2kjNM7E,es,False,,PublimetroChile
