id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
826578777799004164,2017-01-31 23:51:52+00:00,826578777799004164,"VIDEOS | Con estos goles, Unión Española derrota a Cerro en Copa Libertadores https://t.co/pc0MFWjefP https://t.co/DlTCokVEah",9,10,0,0,http://bit.ly/2kP9Mrv,es,False,,adnradiochile
826575565356417024,2017-01-31 23:39:06+00:00,826575565356417024,Arquero de 115 kilos es el próximo desafío de Alexis Sánchez https://t.co/SBKj0ewosf https://t.co/A8OC9W3Unb,3,1,1,0,http://bit.ly/2jzsJcY,es,False,,adnradiochile
826573560730812416,2017-01-31 23:31:08+00:00,826573560730812416,Ministro del Deporte confirmó postulación de Santiago a los Panamericanos 2023 https://t.co/4RSKPqpeKx https://t.co/ZqIue4HcEy,5,7,0,0,http://bit.ly/2kOWYRZ,es,False,,adnradiochile
826572791742885890,2017-01-31 23:28:05+00:00,826572791742885890,"Tigre mató a hombre que saltó dos muros de tres metros para entrar gratis al zoológico
https://t.co/I0iMKx1n5W https://t.co/FJYYzYHH2R",10,6,4,4,http://bit.ly/2jSH1X2,es,False,,adnradiochile
826571022224736257,2017-01-31 23:21:03+00:00,826571022224736257,Pizarro firmó por un año y acordó sueldo medio en la U https://t.co/Y1jDUBlZWo https://t.co/KaMuX7h2Ip,0,12,4,0,http://bit.ly/2kdogi2,es,False,,adnradiochile
826570729336500225,2017-01-31 23:19:53+00:00,826570729336500225,Alerta Roja en Ovalle por incendio forestal en Parque Nacional Bosque Fray Jorge https://t.co/MLirJM6mSW https://t.co/CxmFJGzXKb,23,5,5,6,http://bit.ly/2jSONQv,es,False,,adnradiochile
826569943231651840,2017-01-31 23:16:46+00:00,826569943231651840,"RT @DiegoSaezADN: Ya estamos en el aire, junto a la banda copera de @adnradiochile, con el partido entre Unión Española y Cerro de Uruguay,…",1,0,0,0,,es,False,,adnradiochile
826569864194179074,2017-01-31 23:16:27+00:00,826569864194179074,Contraloría aprobó estatutos corregidos de nuevas universidades estatales https://t.co/TmGWDmj0fS https://t.co/0CIwr7uMGM,4,3,0,1,http://bit.ly/2jSIoVF,es,False,,adnradiochile
826569018639278082,2017-01-31 23:13:05+00:00,826569018639278082,A la fecha se han construido 366 kms. de cortafuegos entre Coquimbo y La Araucanía https://t.co/fh4pOO8MDh https://t.co/txClWLUknM,6,4,0,0,http://bit.ly/2kNS6cS,es,False,,adnradiochile
826565963072077825,2017-01-31 23:00:57+00:00,826565963072077825,VIDEO l El reto de Suárez a Neymar por llegar tarde al entrenamiento de Barcelona https://t.co/g7QuFDOR1Z https://t.co/rFg0iIpVuK,0,2,2,0,http://bit.ly/2kNRGDd,es,False,,adnradiochile
826565881379557376,2017-01-31 23:00:37+00:00,826565881379557376,Junior Fernandes es el nuevo refuerzo del Alanyaspor de Turquía https://t.co/jGqKfJB3hA https://t.co/nNDhi53gba,1,3,0,0,http://bit.ly/2kOqFmf,es,False,,adnradiochile
826561707753558021,2017-01-31 22:44:02+00:00,826561707753558021,AUDIO | Vicepresidente CPC y efecto de incendios: Las pérdidas serán transversales en distintos rubros https://t.co/euXUkz5LQc https://t.co/GTyqT8J72D,0,4,1,0,http://bit.ly/2kR5pZ8,es,False,,adnradiochile
826561024006430720,2017-01-31 22:41:19+00:00,826561024006430720,"El reggae es la música preferida de los perros, según estudio https://t.co/yUINHwmXjB https://t.co/1OrB5G3HVi",31,27,4,5,http://bit.ly/2kNK4kc,es,False,,adnradiochile
826555421632585729,2017-01-31 22:19:03+00:00,826555421632585729,Corporación de la Madera defiende actividad forestal y solidariza con afectados por incendios https://t.co/y6PBPIb9yS https://t.co/aYP6WBkQm5,4,13,3,0,http://bit.ly/2knA8jQ,es,False,,adnradiochile
826554931477897216,2017-01-31 22:17:06+00:00,826554931477897216,VIDEO | Inter de Milán quedó eliminado de la Copa Italia tras caer ante la Lazio https://t.co/TBf6rHjdkb https://t.co/s9UZUDk2gD,0,2,0,0,http://bit.ly/2kOTor7,es,False,,adnradiochile
826552917897445377,2017-01-31 22:09:06+00:00,826552917897445377,"AUDIO l Diego Rivarola sobre David Pizarro: ""Tiene que demostrar que está vigente todavía"" https://t.co/rAZtCdu1fo https://t.co/NN5mlnvFmo",1,2,1,0,http://bit.ly/2kOX1NG,es,False,,adnradiochile
826549458171260929,2017-01-31 21:55:22+00:00,826549458171260929,AUDIO | Al menos nueve detenidos en el Biobío durante Estado de Catástrofe https://t.co/BdpwzBxwkm https://t.co/7i5Xy9IH2U,10,4,0,0,http://bit.ly/2jSyshh,es,False,,adnradiochile
826548404528545792,2017-01-31 21:51:10+00:00,826548404528545792,VIDEO | Arsenal de Alexis Sánchez sufrió una inesperada derrota contra el Watford https://t.co/0l4afuS8aR https://t.co/RtCO829fUt,0,1,1,1,http://bit.ly/2kOULpE,es,False,,adnradiochile
826543083319918592,2017-01-31 21:30:02+00:00,826543083319918592,"RT @AndreaAristegui: En #LaPruebaDeAdn fiscal regional del Maule dice que hasta ahora hay antecedentes de intencionalidad, pero no de terro…",40,0,0,0,,es,False,,adnradiochile
826542194727202817,2017-01-31 21:26:30+00:00,826542194727202817,Atalanta confirmó la salida de Carlos Carmona https://t.co/I0uUU491bz https://t.co/S8ew8gd0Im,1,2,1,0,http://bit.ly/2kORKFQ,es,False,,adnradiochile
826540566724874240,2017-01-31 21:20:02+00:00,826540566724874240,"Desempleo llegó a 6,1% en el trimestre octubre-diciembre https://t.co/0jSkcX0YM3 https://t.co/eHzlm3YoPT",2,2,0,0,http://bit.ly/2kQVx1s,es,False,,adnradiochile
826539923536748544,2017-01-31 21:17:28+00:00,826539923536748544,"Conversamos en #LaPruebaDeADN con el fiscal regional Mauricio Richards de @FiscaliaMaule

📻https://t.co/f7bl0drEf7 https://t.co/N8fumv3p68",0,0,0,0,http://envivo.adnradio.cl,es,False,,adnradiochile
826538899891712006,2017-01-31 21:13:24+00:00,826538899891712006,Fabián Orellana es nuevo jugador del Valencia https://t.co/q9MXoVmDoU https://t.co/oOOifTcviY,14,18,3,3,http://bit.ly/2kOyYyu,es,False,,adnradiochile
826538119067484164,2017-01-31 21:10:18+00:00,826538119067484164,VIDEO | La maravillosa habilitación de Alexis Sánchez a Iwobi ► https://t.co/eTTfGwGSRJ https://t.co/Le71z8HnwF,4,6,0,0,http://bit.ly/2kOPKxm,es,False,,adnradiochile
826538098125312000,2017-01-31 21:10:13+00:00,826538098125312000,RT @AndreaAristegui: Buenas tardes! Ya estamos con la información y el análisis de este martes en #LaPruebaDeAdn con @gersondelrio y equipo…,8,0,0,0,,es,False,,adnradiochile
826537017823600643,2017-01-31 21:05:56+00:00,826537017823600643,DGAC: Solo un helicóptero tiene permiso para volar de noche y pilotos aún no llegan https://t.co/pXErvKJS19 https://t.co/xqjL7w4JB3,31,17,7,5,http://bit.ly/2kONS7V,es,False,,adnradiochile
826535876377321473,2017-01-31 21:01:23+00:00,826535876377321473,Trump despidió a la fiscal general que se negó a defender su veto migratorio https://t.co/53PJazmUxX https://t.co/hy7ENsWVFx,5,3,0,3,http://bit.ly/2knOaSr,es,False,,adnradiochile
826535459249598466,2017-01-31 20:59:44+00:00,826535459249598466,"Comenzó una nueva edición de #LaPruebaDeADN con @AndreaAristegui y @gersondelrio

📻https://t.co/f7bl0drEf7
📺https://t.co/BknKpWkgJO https://t.co/ifhjYmJRO2",6,13,2,0,http://envivo.adnradio.cl,es,False,,adnradiochile
826534027431706624,2017-01-31 20:54:03+00:00,826534027431706624,FOTO | Trolean a usuario de Facebook por supuesta confusión con el avión Ilyushin Il-76 ►https://t.co/5Z7a4GbUXY https://t.co/PNKu99Hiyw,18,27,1,8,http://bit.ly/2jS2iSY,es,False,,adnradiochile
826530750807863296,2017-01-31 20:41:01+00:00,826530750807863296,Un cité y tres locales dañados por incendio en Estación Central https://t.co/ypY4HXPVix https://t.co/YE2jDQREEx,0,2,0,1,http://bit.ly/2ko1Lsx,es,False,,adnradiochile
826528836703617025,2017-01-31 20:33:25+00:00,826528836703617025,VIDEO | David Luiz marcó un golazo de tiro libre ante el Liverpool ► https://t.co/W1cYxkpXtY https://t.co/A2VGKltUFb,2,10,0,0,http://bit.ly/2kOuisq,es,False,,adnradiochile
826525720943984640,2017-01-31 20:21:02+00:00,826525720943984640,"VIDEO | Carabineros disfrutaron de una ""pichanga"" con niños de Santa Olga https://t.co/r4j6PIvLH5 https://t.co/j0Z6xoiFO5",12,31,2,2,http://bit.ly/2jRR013,es,False,,adnradiochile
826525244798169088,2017-01-31 20:19:09+00:00,826525244798169088,Cuánto vale estacionar en las distintas playas y lagos del país https://t.co/w5pwQFTDXi https://t.co/LxRkc44r9n,2,1,0,0,http://bit.ly/2kMM1gx,es,False,,adnradiochile
