id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
826577055475187713,2017-01-31 23:45:01+00:00,826577055475187713,"Pdta. Bachelet: ""Somos un país que en emergencia actuamos unidos"" https://t.co/0vcZHuvrnU #CNNChile https://t.co/VuUm2cOR6H",8,15,43,11,http://bit.ly/2jR66RX,es,False,,CNNChile
826573342404706305,2017-01-31 23:30:16+00:00,826573342404706305,#ConexiónGlobal: Polémica en EE.UU. por despido de fiscal general https://t.co/e2jethErz9 #CNNChile https://t.co/YgOJoJrWpx,6,5,3,0,http://bit.ly/2jSB1gQ,es,False,,CNNChile
826569501038686208,2017-01-31 23:15:00+00:00,826569501038686208,[FOTO] El inocente dibujo de una niña por los aviones que combaten los incendios https://t.co/3oAMjftlKc https://t.co/0Hfg3BFoqh,7,7,0,0,http://bit.ly/2kmxKtP,es,False,,CNNChile
826566778318946306,2017-01-31 23:04:11+00:00,826566778318946306,Ahora comienza #ResumenEjecutivo con @DMatamala por #CNNChile https://t.co/B7GFgksIR2,1,3,0,0,https://twitter.com/CNNChile/status/826566778318946306/photo/1,es,False,,CNNChile
826565736449597440,2017-01-31 23:00:03+00:00,826565736449597440,"Ministra Palma : ""Ninguna familia quedará excluida de la solución que de el Gobierno"" https://t.co/wHTwCX4m3C https://t.co/e8oSHN7g6S",4,3,5,2,http://bit.ly/2jRyUKj,es,False,,CNNChile
826562399448731648,2017-01-31 22:46:47+00:00,826562399448731648,"Director del INDH: ""Vamos a sacar proyecciones y sacar la radiografía actual de Sename"" https://t.co/ThUWZoTRRA #CNNChile https://t.co/8U1boNGLjv",7,4,4,3,http://bit.ly/2keaP1b,es,False,,CNNChile
826552683230289920,2017-01-31 22:08:10+00:00,826552683230289920,AHORA: Aeronaves combaten incendio en Santa Cruz de la Cuca #CNNChile https://t.co/gCknU5UyWz,20,11,0,0,https://twitter.com/CNNChile/status/826552683230289920/photo/1,es,False,,CNNChile
826551784181207041,2017-01-31 22:04:36+00:00,826551784181207041,Fiscalía pidió formalizar a ejecutivo de CGE por el incendio en Pumanque https://t.co/PhdZ4voPk0 #CNNChile https://t.co/Wm8B7TvoU5,14,8,4,3,http://bit.ly/2kNEKgv,es,False,,CNNChile
826550636267319297,2017-01-31 22:00:02+00:00,826550636267319297,[VIDEOS] La alegría de los dichatinos por el paso del SuperTanker https://t.co/yHQLCGTnFP #CNNChile https://t.co/Dv4P7xdvry,6,15,1,2,http://bit.ly/2jyJp40,es,False,,CNNChile
826547483950080000,2017-01-31 21:47:31+00:00,826547483950080000,Lo Último: Obispos chilenos se reunirán con el Papa #CNNChile https://t.co/MMSfRLcKvw,3,1,4,4,https://twitter.com/CNNChile/status/826547483950080000/photo/1,es,False,,CNNChile
826546856838692866,2017-01-31 21:45:01+00:00,826546856838692866,Sting presentará su nuevo disco en Chile https://t.co/G1gMFuvIJW #CNNChile https://t.co/yZnaoq3vQW,9,10,0,1,http://bit.ly/2jQhzUi,es,False,,CNNChile
826543665254383617,2017-01-31 21:32:20+00:00,826543665254383617,¿Qué opinas de la #ImagenDelDíaCNN? Disturbios en la explanada del Centro de Justicia tras veredicto por caso de ataque a cuartel de la PDI https://t.co/9In5uJ7uyE,19,10,12,5,https://twitter.com/CNNChile/status/826543665254383617/video/1,es,False,,CNNChile
826543186843688960,2017-01-31 21:30:26+00:00,826543186843688960,Amazon Studios logró 6 nominaciones a los Oscar https://t.co/Inlh5oCiJK #CNNChile https://t.co/MzN0hub0pQ,1,0,0,1,http://bit.ly/2jA58sk,es,False,,CNNChile
826543087900061701,2017-01-31 21:30:03+00:00,826543087900061701,Grabaron video en el que aparecerían dos hombres iniciando incendio en Portezuelo https://t.co/Ho2i4eZpQv #CNNChile https://t.co/GobQMX2RC7,19,8,3,4,http://bit.ly/2kNQGCl,es,False,,CNNChile
826539307657728002,2017-01-31 21:15:01+00:00,826539307657728002,Paula Narváez negó que constructora brasileña OAS financiara la campaña de Michelle Bachelet https://t.co/TIKz9IVH05 https://t.co/xdk1EtdSY0,6,2,19,18,http://bit.ly/2jRoiLb,es,False,,CNNChile
826536873275322369,2017-01-31 21:05:21+00:00,826536873275322369,"Ministro OO.PP.: ""Se prenden focos contra el viento lo que da cuenta de intencionalidad"" https://t.co/KADbbzveJP  https://t.co/e6SKcn7yzx",106,36,36,22,http://bit.ly/2kNnhb8,es,False,,CNNChile
