id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1630648676652556302,2023-02-28 19:18:35+00:00,1630648676652556302,RT @GabrielBoric: Para seguir trabajando con sentido de urgencia en el apoyo a las familias y avanzar en la reconstrucción de zonas afectad…,250,0,0,0,,es,False,,CapuchaCreativa,0.04055,0.503709,0.455741,NEU
1630648661267849224,2023-02-28 19:18:31+00:00,1630648661267849224,RT @GabrielBoric: Avanzamos!,681,0,0,0,,es,False,,CapuchaCreativa,0.041688,0.442674,0.515637,POS
1630648645857976320,2023-02-28 19:18:27+00:00,1630648645857976320,"RT @ChumiVicuna: 🧵 #RecuperacionDeEspacios
1. Tras varios meses de intenso trabajo, se redujo en un 92% la presencia de carpas y rucos en e…",762,0,0,0,,es,False,,CapuchaCreativa,0.117542,0.770643,0.111815,NEU
1630648579176931357,2023-02-28 19:18:11+00:00,1630648579176931357,RT @Presidencia_cl: Presidente @GabrielBoric sostuvo reunión de trabajo con el ministro @MarioMarcelC para revisar perspectivas económicas…,192,0,0,0,,es,False,,CapuchaCreativa,0.065541,0.441088,0.493371,POS
1630626729982083086,2023-02-28 17:51:22+00:00,1630626729982083086,RT @SubsecTrabajo: El Presidente @GabrielBoric valoró el avance del Proyecto de Ley #40Horas con acuerdos transversales donde el rol sindic…,203,0,0,0,,es,False,,CapuchaCreativa,0.061567,0.347375,0.591058,POS
1630618829280665600,2023-02-28 17:19:58+00:00,1630618829280665600,"RT @jeannette_jara: Camino a @MuchoGustoMEGA para informarles de 👀
✅Bono Marzo y ayudas económicas 
✅ Subsidio para pymes afectadas por inc…",114,0,0,0,,es,False,,CapuchaCreativa,0.076924,0.829,0.094076,NEU
1630391597308231681,2023-02-28 02:17:02+00:00,1630391597308231681,Hace un año el Presidente Gabriel Boric @GabrielBoric estuvo en Juan Fernández. Allí conoció los contenedores q niños y niñas usaban como escuela tras el paso del tsunami hace 13 años. Ese día el Presidente asumió un compromiso con ellos q hoy da un importante paso. #Avanzamos https://t.co/Pb2uP1PYBU https://t.co/jVDgP6H6Cv,272,996,1,5,https://twitter.com/i/web/status/1630391597308231681,es,False,,CapuchaCreativa,0.043362,0.307828,0.64881,POS
1630379875365269504,2023-02-28 01:30:27+00:00,1630375388550426624,"@AnyAny62252346 De eso se trata, no de q estén equivocadas. Se trata de misoginia.",0,1,0,0,,es,False,1.5458933721283707e+18,CapuchaCreativa,0.914266,0.077497,0.008238,NEG
1630372906218799106,2023-02-28 01:02:46+00:00,1630372906218799106,"Se acerca el Día de la Mujer #8M y en Chile nos preparamos haciendo pebre a la diputada @MaiteOrsini por su vida privada, a la consejera del INDH Constanza Valdés @conivaldesc por ser trans, y a Irina @IrinaKaramanos por decir q hubo campaña del terror del Rechazo.",64,208,3,4,,es,False,,CapuchaCreativa,0.921342,0.072209,0.006449,NEG
1630303151029977088,2023-02-27 20:25:35+00:00,1630303151029977088,"RT @Presidencia_cl: A 41 años de la muerte de Tucapel Jiménez, Presidente @GabrielBoric participó junto a autoridades de Gobierno de hito c…",185,0,0,0,,es,False,,CapuchaCreativa,0.403944,0.486936,0.109119,NEU
1630302407606370305,2023-02-27 20:22:38+00:00,1630302407606370305,"RT @camila_vallejo: Hoy conversamos de los avances alcanzados en este 1er año de Gobierno: aumento del sueldo mínimo, instalación del Copag…",583,0,0,0,,es,False,,CapuchaCreativa,0.043046,0.428534,0.528419,POS
1630287158983503874,2023-02-27 19:22:02+00:00,1629881556369043458,@callmegatx 😍,0,1,0,0,,qme,False,1.4135338255236628e+18,CapuchaCreativa,0.013249,0.091204,0.895547,POS
1630268925114998785,2023-02-27 18:09:35+00:00,1630268925114998785,"RT @GabrielBoric: La memoria no es sólo pasado, es también la vigencia de las luchas de quienes nos antecedieron. Hoy participé de la conme…",704,0,0,0,,es,False,,CapuchaCreativa,0.028537,0.258934,0.712528,POS
1630210227382394880,2023-02-27 14:16:20+00:00,1628444716059570176,@sailor_fome Para @MuseoTuitero,1,1,0,0,,es,False,68282948.0,CapuchaCreativa,0.071637,0.624035,0.304329,NEU
1630185614850113538,2023-02-27 12:38:32+00:00,1630006926892232709,"@ganadovegetal Hay un colegio a dos cuadras del metro R de Araya. Es particular y se llama Ntra Sra del Huerto. Es bueno pero es de monjas. Otra opción a 10 minutos en auto en Macul, metro San Joaquin, colegio municipal Julio Barrenechea, muy bueno.",2,7,1,0,,es,False,1.2976226581007237e+18,CapuchaCreativa,0.008641,0.228843,0.762516,POS
1630183761194221568,2023-02-27 12:31:10+00:00,1630171384855900162,@JulioCJM38 https://t.co/DbZa9vKJTn,8,87,0,0,https://twitter.com/CapuchaCreativa/status/1630183761194221568/photo/1,qme,False,1.1931925159287562e+18,CapuchaCreativa,0.16345,0.674022,0.162527,NEU
