id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1624964511034753028,2023-02-13 02:51:44+00:00,1624964511034753028,"Twitter OFF, se cae a cada rato 😢",3,15,1,0,,es,False,,JackoProu,0.961076,0.036081,0.002843,NEG
1624964149229891586,2023-02-13 02:50:18+00:00,1624954499839172609,"@luisgutierrezt Igualmente, un abrazo",0,1,0,0,,es,False,286528335.0,JackoProu,0.006199,0.075614,0.918187,POS
1624964081475063809,2023-02-13 02:50:02+00:00,1624964081475063809,RT @luisgutierrezt: @JackoProu Gracias por seguirme.,1,0,0,0,,es,False,,JackoProu,0.00897,0.149203,0.841826,POS
1624943559722905602,2023-02-13 01:28:29+00:00,1624849808975450112,@luisgutierrezt @albertoplaza Te sigo 😁,0,1,1,0,,es,False,286528335.0,JackoProu,0.007458,0.183648,0.808894,POS
1624943311357108226,2023-02-13 01:27:30+00:00,1624941505335988225,@El_Exorcista_ Perdón! se me había caído un puntito 🤣🤣,0,1,0,0,,es,False,236036607.0,JackoProu,0.300669,0.644916,0.054415,NEU
1624943128682561539,2023-02-13 01:26:46+00:00,1624943128682561539,"#Maullín cumplió hoy, 463 años y obviamente los bomberos desfilan con orgullo en la ciudad.
#GraciasBomberos la institución con mayor aprobación por la ciudadanía 99% Cadem 👏👏 https://t.co/KSdSHjRGES",40,95,2,1,https://twitter.com/JackoProu/status/1624943128682561539/video/1,es,False,,JackoProu,0.063844,0.388144,0.548012,POS
1624941505335988225,2023-02-13 01:20:19+00:00,1624941505335988225,"30% y bajando... pero dirán ""la Cadem miente.."" 🌶️
Darán vueltas en círculos toda la noche https://t.co/6vWdKHIUkz https://t.co/q5AREP4p0P",2,2,2,0,https://twitter.com/JackoProu/status/1624941505335988225/photo/1,es,False,,JackoProu,0.627278,0.345225,0.027497,NEG
1624941098790531072,2023-02-13 01:18:42+00:00,1624915849755734019,"@El_Exorcista_ Supiste la segunda parte?

Que los Delincuentes querían que les devolvieran el trigo y la avena, porque lo tenían VENDIDO!!!

Ser indio, pero no We...",13,18,6,0,,es,False,236036607.0,JackoProu,0.914723,0.079266,0.006011,NEG
1624940386299920384,2023-02-13 01:15:52+00:00,1624940386299920384,"RT @El_Exorcista_: En 3 operativos en Ercilla Carabineros detienen a 8 personas y recuperan 1200 MM por robo de trigo y avena.
Adivina buen…",226,0,0,0,,es,False,,JackoProu,0.184797,0.589115,0.226088,NEU
1624940305731420161,2023-02-13 01:15:33+00:00,1624849808975450112,"@albertoplaza Mi deseo es:
Que se eleven las voces en una canción
Se junten las manos, se logre la unión
Que cante la vida por todo rincón
Que se abran caminos y se encienda el sol

Solo eso ❤️❤️",2,4,0,0,,es,False,49133906.0,JackoProu,0.014049,0.24109,0.744861,POS
1624939800963829764,2023-02-13 01:13:33+00:00,1624849808975450112,@luisgutierrezt @albertoplaza 😱,0,0,1,0,,qme,False,286528335.0,JackoProu,0.273588,0.683188,0.043225,NEU
1624903440039088130,2023-02-12 22:49:04+00:00,1624903440039088130,Gracias Ejército de Chile 🇨🇱🇨🇱 https://t.co/0TTtYqYO2I,6,16,0,0,https://twitter.com/Ejercito_Chile/status/1624763388936040452,es,False,,JackoProu,0.130689,0.640781,0.22853,NEU
1624895530420535297,2023-02-12 22:17:38+00:00,1624895530420535297,"RT @mortizherrera: ◼️Estados Unidos derribó otro objeto volador no identificado

▪️Esta vez sobre el lago Huron, cerca de la frontera con C…",47,0,0,0,,es,False,,JackoProu,0.204349,0.751483,0.044168,NEU
1624895346131230729,2023-02-12 22:16:54+00:00,1624826302820646913,"@SorCarcunda Es como el muerto que falleció por primera vez, por falta de experiencia?? https://t.co/mcUpJOFZgX",1,1,0,0,https://twitter.com/JackoProu/status/1624895346131230729/photo/1,es,False,1.1871213399472456e+18,JackoProu,0.740752,0.252256,0.006991,NEG
1624891742058172418,2023-02-12 22:02:34+00:00,1624891742058172418,"Este ""afiche"" es completamente FALSO!!

Les fue mal, zurditos con su fake news, más ingenio para la otra

#IncendiosForestales 
TEN TANKER https://t.co/7kiB1qyYAY",14,11,1,0,https://twitter.com/JackoProu/status/1624891742058172418/photo/1,es,False,,JackoProu,0.964721,0.030358,0.004921,NEG
1624890137506156545,2023-02-12 21:56:12+00:00,1624391639354511362,@fbarrerarob @Facu_________3 @jackoprou2 Gracias Fer,0,3,0,0,,es,False,3108462336.0,JackoProu,0.0063,0.076534,0.917166,POS
1624890038713556996,2023-02-12 21:55:48+00:00,1624890038713556996,RT @fbarrerarob: Mira @jackoprou2 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,1,0,0,0,,es,False,,JackoProu,0.387571,0.570261,0.042168,NEU
1624889961106313217,2023-02-12 21:55:30+00:00,1624450133826891777,@__Mave__ No hay como los LEO 😉,0,1,1,0,,es,False,257142589.0,JackoProu,0.004011,0.09255,0.903439,POS
1624889714212843520,2023-02-12 21:54:31+00:00,1624450133826891777,@reneignalopez Jajaja,0,0,0,0,,es,False,2785294535.0,JackoProu,0.077098,0.554693,0.368209,NEU
1624887678477996034,2023-02-12 21:46:26+00:00,1624887678477996034,RT @Regia_Pam: @El_Exorcista_ @PanelCiudadano Los del gobierno son como estudiantes en práctica. Nos está saliendo muy caro  su aprendizaje…,2,0,0,0,,es,False,,JackoProu,0.97527,0.021701,0.003029,NEG
1624887668793393152,2023-02-12 21:46:23+00:00,1624887668793393152,"RT @El_Exorcista_: Encuesta @PanelCiudadano
54% cree que el Gobierno enfrento mal los incendios.
63% de los chilenos cree que recordar los…",36,0,0,0,,es,False,,JackoProu,0.721976,0.253701,0.024324,NEG
