id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username,NEG,NEU,POS,sentimiento
1630548050723627008,2023-02-28 12:38:44+00:00,1630548050723627008,"Orlando, escrito por Virginia Woolf en 1927, es una sátira al género de biografías, una crítica a la sociedad inglesa y al machismo imperante. Borges lo tradujo nueve años después, pero decidió cambiar frases, pronombres e incluso omitió frases completas. https://t.co/DNFS1C8szr https://t.co/nFwQgFokbE",10,20,1,1,http://bit.ly/3m8Gyoy,es,False,,InterferenciaCL,0.665712,0.317042,0.017246,NEG
1630538670468890624,2023-02-28 12:01:27+00:00,1630538664466939906,"Vehículo de Carabineros estaba detenido en una luz roja en avenida Los Carrera en Concepción, cuando de pronto aceleró pasando de la primera a la tercera pista y atropellando a Juan Carlos Moreno, luego de lo cual se retiró del lugar acelerando y volviendo a la primera pista. https://t.co/uxLpiqWjEz",198,120,29,20,https://twitter.com/InterferenciaCL/status/1630538670468890624/video/1,es,False,9.841371067538104e+17,InterferenciaCL,0.253038,0.667986,0.078976,NEU
1630538664466939906,2023-02-28 12:01:26+00:00,1630538664466939906,[Video del atropello] INDH presentó recurso para anular juicio que sólo condenó al Cabo 2° Manuel Sánchez al pago de 6 UTM por atropellar a un manifestante en el estallido social en Concepción. Organismo argumenta que hay delito de apremios ilegítimos. https://t.co/1AfNN3gKRN https://t.co/ICPDAQlwyM,176,214,4,6,http://bit.ly/3IZ5nMJ,es,False,,InterferenciaCL,0.73761,0.226201,0.036189,NEG
1630529769363128321,2023-02-28 11:26:05+00:00,1630529769363128321,"Asesinan a Eduardo Mendúa, del pueblo A'i Cofán y dirigente de relaciones internacionales del conjunto de indígenas ecuatorianos y ""se teme por la vida de más dirigentes y familiares” en un conflicto donde están en juego 30 pozos petroleros en Ecuador. https://t.co/12fQIbfTqy https://t.co/9E6Escw6C1",78,37,1,0,http://bit.ly/3Z3llee,es,False,,InterferenciaCL,0.903888,0.086905,0.009207,NEG
1630352107831173120,2023-02-27 23:40:07+00:00,1630352107831173120,"RT @InterferenciaCL: Consultora ""El Mapa"" ligada a RD elaboró 43 informes entre 2018 y 2019 para los diputados Miguel Crispi, Jorge Brito,…",116,0,0,0,,es,False,,InterferenciaCL,0.133808,0.771036,0.095156,NEU
1630172268838920193,2023-02-27 11:45:30+00:00,1630172268838920193,"Cabo 2° de Carabineros, Manuel Sánchez, fue condenado al pago de 6 UTM ($371 mil aproximadamente) por atropellar a un manifestante en noviembre de 2019 en el contexto del estallido social en Concepción, desestimando así una pena privativa de libertad. https://t.co/PcdHFqPRZb https://t.co/03uRsaQRbE",137,69,9,18,http://bit.ly/3ZmCCPp,es,False,,InterferenciaCL,0.653439,0.301297,0.045264,NEG
1630165843664416769,2023-02-27 11:19:58+00:00,1630165843664416769,"Consultora ""El Mapa"" ligada a RD elaboró 43 informes entre 2018 y 2019 para los diputados Miguel Crispi, Jorge Brito, Natalia Castillo, Maite Orsini y Pablo Vidal, ahora asesora a Inmobiliaria Las Salinas, perteneciente a Copec de la familia Angelini. https://t.co/0fjoZZvUPr https://t.co/ZbLD5OeCCS",116,80,11,11,http://bit.ly/3Y5sUQ8,es,False,,InterferenciaCL,0.122889,0.751636,0.125475,NEU
1629944509927677954,2023-02-26 20:40:28+00:00,1629944509927677954,RT @InterferenciaCL: La resistencia de decenas de comunidades mapuche a la central hidroeléctrica Los Lagos de Statkraft en el río Pilmaiqu…,298,0,0,0,,es,False,,InterferenciaCL,0.616842,0.304377,0.078781,NEG
1629803340342149120,2023-02-26 11:19:31+00:00,1629803340342149120,"El ascenso desde la clase proletaria al mayor reconocimiento que puede ofrecer la burguesía. Una conversación con Annie Ernaux, Premio Nobel de Literatura 2022, acerca de los orígenes sociales, la radicalidad, la soledad y sus compromisos políticos. https://t.co/JVKX8GVisz https://t.co/arX8CWpzQO",33,71,4,2,http://bit.ly/3xTpUMd,es,False,,InterferenciaCL,0.26608,0.561108,0.172812,NEU
1629802686487855105,2023-02-26 11:16:55+00:00,1629802686487855105,La resistencia de decenas de comunidades mapuche a la central hidroeléctrica Los Lagos de Statkraft en el río Pilmaiquen ha ido en aumento. Cada protesta es reprimida con lacrimógenas y balines. El jueves un joven se sumó a la lista de heridos oculares. https://t.co/YP7Mu4joPx https://t.co/SxWAC127AX,298,259,16,14,http://bit.ly/3St1oet,es,False,,InterferenciaCL,0.874899,0.109323,0.015778,NEG
