id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1630714137071300610,2023-02-28 23:38:42+00:00,1630714137071300610,"RT @aquiradiomoscu: 🤥NEMENTIRAS👇

@jananeme dijo hoy en Mucho Gusto que la ministra @totiorellanag habría llamado a Maite Orsini para que v…",835,0,0,0,,es,False,,MrRangerR1
1630713950064058368,2023-02-28 23:37:57+00:00,1630707442018402305,@Sameck0 @GabrielBoric Se van a agarrar de un Winnie Matrix Hacker? Ojalá 🤣,0,2,0,0,,es,False,257663211,MrRangerR1
1630712419591897098,2023-02-28 23:31:52+00:00,1630701733729951747,@conivaldesc Ánimo ✊🔴 todos pagan 😉,1,10,0,0,,es,False,788256402951331840,MrRangerR1
1630707442018402305,2023-02-28 23:12:05+00:00,1630707442018402305,"🔴❤️Sospechoso del hackeo al #PDG? 🤣

#EatafaDigitalPdg

@GabrielBoric 

No sé la vayan a creer poh 😉 https://t.co/Qcq6CzMaT8",12,54,2,0,https://twitter.com/RobertoMerken/status/1630701550933889025,es,False,,MrRangerR1
1630688691457863680,2023-02-28 21:57:35+00:00,1630688691457863680,Alguien ha visto a José Antonio Neme @jananeme ? La ministra lo busca👇😉 https://t.co/MbU2aI3VWq,31,109,2,0,https://twitter.com/totiorellanag/status/1630594058539114496,es,False,,MrRangerR1
1630683533495656453,2023-02-28 21:37:05+00:00,1630683533495656453,"RT @NYC_prensa: 🔴 Partido de la Gente denuncia ataque cibernético que permitió realizar suplantación de identidad a su base de datos, lleva…",47,0,0,0,,es,False,,MrRangerR1
1630674428311814145,2023-02-28 21:00:54+00:00,1630674428311814145,RT @megamentirascll: @MrRangerR1 Acá el Hacker haciendo Picking https://t.co/WwhdNHAYn2,4,0,0,0,https://twitter.com/megamentirascll/status/1630670940852944897/photo/1,es,False,,MrRangerR1
1630674244819464192,2023-02-28 21:00:11+00:00,1630674244819464192,RT @adrian_goodrich: Cuando uno de tus principios de campaña (democracia digital) no es más que un slogan y carece de cualquier seriedad te…,36,0,0,0,,es,False,,MrRangerR1
1630656205335961627,2023-02-28 19:48:30+00:00,1630656205335961627,"🔴🚨¿Cómo cresta mandan a explicar el #HackeoPDG a alguien que dice #Picking en vez de #Pishing ?

Chancho en misa.

#EstafaDigitalPDG https://t.co/WsSRpnf9qX",86,264,20,3,https://twitter.com/ChilePDGcl/status/1630638793265954820,es,False,,MrRangerR1
1630656045985964035,2023-02-28 19:47:52+00:00,1630651630193442816,"@megamentirascll No existe, no supo que decir. Quería decir Pishing, pero no hizo la tarea.",0,12,0,0,,es,False,1517315312185749504,MrRangerR1
1630655752661508105,2023-02-28 19:46:42+00:00,1630655752661508105,"🔴🚨Mientras el #PDG sigue haciendo su Informe Técnico sobre la #EstafaDigitalPDG @RealAnonChile🥷  y @BotCheckerCL🤖 ya le hicieron la pega

#Mekotio era el virus troyano que enviaba de los servidores del PDG.

Roba archivos, claves de bancos y permanece en el computador 👇 https://t.co/28sj0Ikj41",24,23,0,0,https://twitter.com/BotCheckerCL/status/1630653861772894209,es,False,,MrRangerR1
1630653028180041749,2023-02-28 19:35:52+00:00,1630614845132357637,@mjch63 Te puedo enviar un dm?,0,0,0,0,,es,False,2986362526,MrRangerR1
1630652822499868677,2023-02-28 19:35:03+00:00,1630652822499868677,"🔴🚨EHHH, NO ☝️! 

¡Bien el presidente de Chile @GabrielBoric 🇨🇱!

Lo re subí porque el otro lo cité y se puso 🔒 https://t.co/CK9U8V6Y77",554,3283,114,61,https://twitter.com/MrRangerR1/status/1630652822499868677/video/1,es,False,,MrRangerR1
1630651630193442816,2023-02-28 19:30:19+00:00,1630651630193442816,"🔴🔴 ""El hackeo es falso, solamente se incurrió en suplantación de identidad, se apoderaron de nuestros servidores, claves, y enviaron correos masivos""

Emilio Peña está definiendo un hackeo, al mismo tiempo que lo desmiente.

Que nivel🫣

#EstafaDigitalPDG https://t.co/WsSRpnf9qX",102,301,11,3,https://twitter.com/ChilePDGcl/status/1630638793265954820,es,False,,MrRangerR1
1630649286156230674,2023-02-28 19:21:00+00:00,1630649286156230674,RT @LaCon_Sentida: @MrRangerR1 @GabrielBoric Jajajaaj eeeeemmmmm NO 👏🏻👏🏻 https://t.co/Oqk1blzJfG,7,0,0,0,https://twitter.com/LaCon_Sentida/status/1630649235858178048/photo/1,es,False,,MrRangerR1
1630647043369627648,2023-02-28 19:12:05+00:00,1630647043369627648,"🔴🚨EHHH, NO ☝️! 

¡Bien el presidente de Chile @GabrielBoric 🇨🇱! 

https://t.co/PE4WaCPlRm",1131,7803,379,290,https://twitter.com/mjch63/status/1630610795598839808/video/1,es,False,,MrRangerR1
1630646230148628481,2023-02-28 19:08:51+00:00,1630646230148628481,RT @PILYXX: @MrRangerR1 “Desde el inicio hemos sido víctimas de ataques informáticos”... Uffff!!! Pero no hicieron nada para remediarlo? Y…,5,0,0,0,,es,False,,MrRangerR1
1630642957014450178,2023-02-28 18:55:51+00:00,1630642957014450178,"RT @RobertoMerken: 🔴 PDG reconoce que sabían que habían sido víctimas de ataques informáticos. 

Entonces:

¿Por qué no informaron a sus ad…",137,0,0,0,,es,False,,MrRangerR1
1630639388370563073,2023-02-28 18:41:40+00:00,1630639388370563073,RT @vidalcvale: @gonzasanchezs ¡Buen día Gonzalo! ☺️ https://t.co/LZF808LMRq,6,0,0,0,https://twitter.com/vidalcvale/status/1630623076026138659/photo/1,es,False,,MrRangerR1
1630629734047465472,2023-02-28 18:03:18+00:00,1630629734047465472,"RT @AndresGiordanoS: Esto demuestra lo que hay detrás del #PDG, su líder digital @Parisi_oficial y #BadBoys. Una gran empresa de marketing…",106,0,0,0,,es,False,,MrRangerR1
1630627605647900680,2023-02-28 17:54:51+00:00,1630627605647900680,"RT @MrRangerR1: 🔴🚨💣🔥Lo prometido, SIEMPRE es deuda!

Trabajando por un mejor país y mejor vida a través de la equidad❤️

Gracias por hoy mi…",33,0,0,0,,es,False,,MrRangerR1
1630624857485352961,2023-02-28 17:43:56+00:00,1630624857485352961,RT @fumanjix: @MrRangerR1 Que risa. Firma electrónica jajaja,2,0,0,0,,es,False,,MrRangerR1
1630624768540962816,2023-02-28 17:43:35+00:00,1630624768540962816,"RT @asilva1313: @MrRangerR1 La ""seguridad de nuestras redes""... Que redes si tienen la página en un cpanel de un hosting ordinario? ""Nunca…",3,0,0,0,,es,False,,MrRangerR1
1630624688635297806,2023-02-28 17:43:15+00:00,1630624688635297806,"RT @MrRangerR1: 🚨🔴""Se relaciona a un ataque de acceso a archivo para generar Pishing (suplantación de identidad), generando un periodo prev…",145,0,0,0,,es,False,,MrRangerR1
1630624473194872846,2023-02-28 17:42:24+00:00,1630624473194872846,RT @AndresGiordanoS: Parece q cuando la “democracia” es un slogan tan digital como la candidatura presidencial de @Parisi_oficial -que figu…,26,0,0,0,,es,False,,MrRangerR1
1630619702681649153,2023-02-28 17:23:27+00:00,1630619702681649153,RT @k1ngb0a: @ChilePDGcl SON UN PELIGRO COMO PARTIDO SI ES QUE ES HACKEO Y NO ALGO INTENCIONAL,2,0,0,0,,es,False,,MrRangerR1
1630619671232757767,2023-02-28 17:23:19+00:00,1630619671232757767,"RT @ChilePDGcl: 🔴Comunicado Oficial PDG.
Ataque a archivos y phishing. https://t.co/96rURMsRHc",53,0,0,0,https://twitter.com/ChilePDGcl/status/1630613969378459654/photo/1,es,False,,MrRangerR1
1630618105067061250,2023-02-28 17:17:06+00:00,1630618105067061250,"RT @Maka_Gm: @ChilePDGcl Mal #pdg es noción básica que al momento de programar en algún framework, las credenciales se guardan en los servi…",7,0,0,0,,es,False,,MrRangerR1
1630618092161187860,2023-02-28 17:17:03+00:00,1630618092161187860,RT @bastiangue2112: @ChilePDGcl Pero están confirmando las vulneraciónes de seguridad 🤡,1,0,0,0,,es,False,,MrRangerR1
1630617999425130496,2023-02-28 17:16:41+00:00,1630617999425130496,"AHORA🚨🔴! Ataque a archivos y Pishing: Si nos hackearon 🫣

 Comunicado oficial del #PartidoDeLaGente 👇

 Era verdad la #EstafaDigitalPDG  💡

Les anticipé el comunicado: Nos hackearon 😉. 

@RealAnonChile https://t.co/ZVHVvVT1yx",24,53,3,1,https://twitter.com/ChilePDGcl/status/1630613969378459654,es,False,,MrRangerR1
1630616984432918535,2023-02-28 17:12:39+00:00,1630616984432918535,RT @ignxcio: Lo más grave del caso #EstafaDigitalPDG es que el gran relato que pontificaba el PDG era la “democracia digital” y no es ni ca…,29,0,0,0,,es,False,,MrRangerR1
1630616963897606147,2023-02-28 17:12:34+00:00,1630616963897606147,RT @ignxcio: Aquí esperando que la @FiscaliadeChile y la brigada del cibercrimen de la @PDI_CHILE actúen de oficio e investiguen lo antes p…,13,0,0,0,,es,False,,MrRangerR1
1630613599835111435,2023-02-28 16:59:12+00:00,1630613599835111435,"🚨🔴AHORA! PDG reconoce hackeo expuesto por @RealAnonNews y dice que fue un ""periodo previo"", pero no explica nada.

 Se enviaron emails con Pishing al menos hasta el 25/01/2023👇🤔 https://t.co/vG2OE6Ztit https://t.co/z2Q7otLJVW",15,28,1,0,https://twitter.com/MrRangerR1/status/1630613599835111435/photo/1,es,False,,MrRangerR1
