id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1630705926687555587,2023-02-28 23:06:04+00:00,1630699362169896960,@KarlJacobs_ yes 😎,493,23925,49,2,,und,False,2653325339,SpreenDMC
1630702756578066432,2023-02-28 22:53:28+00:00,1630699362169896960,@sapnap Mañana https://t.co/vYdVvCkLZv,1066,34961,320,114,https://twitter.com/SpreenDMC/status/1630702756578066432/photo/1,es,False,1151724782406328320,SpreenDMC
1630702341509750786,2023-02-28 22:51:49+00:00,1630699362169896960,@FoolishGamers bitch,536,22558,131,23,,en,False,1350501963805429767,SpreenDMC
1630699362169896960,2023-02-28 22:39:59+00:00,1630699362169896960,https://t.co/kDcqviktWX,12646,204087,800,367,https://twitter.com/SpreenDMC/status/1630699362169896960/photo/1,zxx,False,,SpreenDMC
1630698888909692928,2023-02-28 22:38:06+00:00,1630696197131317251,@samyriveratv Cuánto era,157,12788,58,2,,es,False,1400156369248997380,SpreenDMC
1630698430069604352,2023-02-28 22:36:17+00:00,1629667957021331457,@sapnap @KarlJacobs_ @sapnapalt @GeorgeNotFound @MichelleObama sos pollo,367,10854,142,32,,es,False,1151724782406328320,SpreenDMC
1630692545368936449,2023-02-28 22:12:54+00:00,1630690760818343940,@KarlJacobs_ https://t.co/XkHtyLWrgR,753,21558,284,64,https://twitter.com/SpreenDMC/status/1630692545368936449/photo/1,qme,False,2653325339,SpreenDMC
1630691434339741704,2023-02-28 22:08:29+00:00,1630675101636079618,@Duxorethey la hiciste re piola capo yo banco tu strat 1000 de iq,266,10897,28,8,,es,False,399151496,SpreenDMC
1630690760818343940,2023-02-28 22:05:48+00:00,1630690760818343940,Gracias por LOS 7 MILLONES en TWITCH LOCO,3260,76031,1285,123,,es,False,,SpreenDMC
1630690438368616448,2023-02-28 22:04:31+00:00,1630681713054748672,@LuzuGames sos un capo pa podría haber muerto cualquiera era puro rng y la estabas haciendo re piola encima,696,25537,106,45,,es,False,1863172518,SpreenDMC
1630688548008390665,2023-02-28 21:57:01+00:00,1630688548008390665,"RT @lissalvsq: Quackity diciéndole a luzu que lo extraño mucho y que no le aviso que se fue a España 
Dream: “Spreen es el mejor, me encant…",5216,0,0,0,,es,False,,SpreenDMC
1630688091840102401,2023-02-28 21:55:12+00:00,1629667957021331457,@sapnap @KarlJacobs_ @sapnapalt @GeorgeNotFound @MichelleObama snpachat shut up,631,16928,258,86,,en,False,1151724782406328320,SpreenDMC
1630607663317876738,2023-02-28 16:35:36+00:00,1630607663317876738,"RT @CharlyQuiin: ES HOYYY!!🦑
team tryhard X Dream team en los squid craft 2 *fan animation* @SpreenDMC @Shadoune666 @CrisGreen95 @Contersti…",5742,0,0,0,,en,False,,SpreenDMC
1630606391894327303,2023-02-28 16:30:33+00:00,1630606391894327303,https://t.co/v7qoD4ZZb8,7732,137617,1345,857,https://twitter.com/SpreenDMC/status/1630606391894327303/photo/1,zxx,False,,SpreenDMC
1630604242263199745,2023-02-28 16:22:01+00:00,1630604036062707713,@JuanSGuarnizo Buena strat de farmeo 😎,264,15079,109,3,,es,False,285081945,SpreenDMC
1630330160921690113,2023-02-27 22:12:55+00:00,1630330160921690113,RT @SpreenUpdates: AAAAAAAAAA https://t.co/SwhJWCWH1E,983,0,0,0,https://twitter.com/SpreenUpdates/status/1630019077052694530/video/1,und,False,,SpreenDMC
