id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1343322651100635140,2020-12-27 22:27:32+00:00,1343316178698076160,@monlaferte Piñera marca 5.1 % de aprobación 🤭🤭🤭 #RenunciaPiñeraAsesino https://t.co/M3DclquNyU,0,0,1,0,https://twitter.com/csantander23/status/1343322651100635140/photo/1,es,False,118247792,csantander23
1337134359111929856,2020-12-10 20:37:28+00:00,1337134359111929856,"Confirmen si Sebastian Piñera, Pepa Hoffmann , Victor Pérez , Jacqueline Van Rysselberghe  es lo peor que puede tener la política Chilena !!! 
Son unos miserables

 #PiñeraViolatesHumanRights https://t.co/HBoUA2kI42",152,790,56,25,https://twitter.com/csantander23/status/1337134359111929856/photo/1,es,False,,csantander23
1333044880407465985,2020-11-29 13:47:20+00:00,1333044880407465985,"Aunque les arda a muchos que tremendas periodistas es Monica González y Alejandra Matus !! 

#PautaLibre https://t.co/tdLcNcz4V0",48,285,32,4,https://twitter.com/csantander23/status/1333044880407465985/photo/1,es,False,,csantander23
1332502544061501442,2020-11-28 01:52:17+00:00,1332502544061501442,"Confirma si Piñera es un Miserable 

#RenunciaPiñeraCuliao #AdelantarEleccionesMV https://t.co/JKAZ1wvUzt",67,488,17,6,https://twitter.com/csantander23/status/1332502544061501442/photo/1,es,False,,csantander23
1331055549602013184,2020-11-24 02:02:27+00:00,1331055549602013184,"Estamos claro que Sebastian Piñera , Juan Sutil , Ignacio Briones y María José Zaldivar son unos miserables !! 

#PiñeraQuiereSuGuerra #SegundoRetiroMV  #AEstaHoraSeImprovisa https://t.co/DuRs56OajW",96,352,23,20,https://twitter.com/csantander23/status/1331055549602013184/photo/1,es,False,,csantander23
1330931196243693571,2020-11-23 17:48:19+00:00,1330931196243693571,"No olvidar sus caras 
Piñera , Briones , Monckeberg y Zaldivar son unos miserable !! 

Es mi Plata no es un Regalo del Estado !! Sinverguenzas asquerosos 

 #PiñeraQuiereSuGuerra 
 #segundoretirodel10 #nolovieronvenir #FueraPiñera https://t.co/BULbDvGzef",312,638,44,36,https://twitter.com/csantander23/status/1330931196243693571/photo/1,es,False,,csantander23
1330508261225861128,2020-11-22 13:47:43+00:00,1330508261225861128,"Chile necesita más 

Monica González 

Y menos Marcela Cubillos 

#PautaLibre #MesaCentral https://t.co/SXgnDtHXJH",56,359,35,5,https://twitter.com/csantander23/status/1330508261225861128/photo/1,es,False,,csantander23
1328832933550022656,2020-11-17 22:50:34+00:00,1328832933550022656,"Confirma si Reinaldo Rueda debe dejar de ser DT de la Selección Chilena 

 #LaRojaxCHV https://t.co/hmgGfyOs7V",59,683,55,19,https://twitter.com/csantander23/status/1328832933550022656/photo/1,es,False,,csantander23
1319443566909935616,2020-10-23 01:00:35+00:00,1319442651012354048,@BartoloApruebo @Colepato_Chile 😍💚💚,0,2,1,0,,qme,False,1235299429156114432,csantander23
1318740276173852673,2020-10-21 02:25:57+00:00,1318740276173852673,"Ud por quien votaría para presidente de chile ? 

 #AprueboSinMiedo
 #JadueMV #PlebiscitoMV",204,76,37,26,,es,False,,csantander23
