created_at;name;username;followers_count;following_count;tweet_count;listed_count;description;location;verified
2015-09-01 23:37:11+00:00;PIENSAPRENSA 327 mil Seguidores;PiensaPrensa;327907;39521;72612;767;Chilenos, autogestionados, Independientes, comprometidos con la verdad y los DDHH. https://t.co/XOUz8Phsgp;Santiago, Chile  ±56987524113 ;True
2009-02-28 23:47:11+00:00;Felipe Parada 🔻;FelipeParadaM;79830;3840;197773;144;Hijo de obrero. Rebeldía, Resistencia y Amor | Co-fundador de @180_cl | @nosotrxsahora ¡Que el pueblo sea protagonista! #Apruebo 🌱🌈;Providencia, Chile;False
2010-07-19 10:52:44+00:00;Vagabundo ilustrado;vagoilustrado;125296;271;15847;168;Otoñista, Yournalista, analista y maestro tierra, entre otras tantas cosas. Amo escribir, leer, cantar y los puntos suspensivos...;@vagoilustrado@seda.social ;False
2013-06-01 03:31:15+00:00;Carlos Santander;csantander23;2431;256;7338;3;San Antonio — Melipilla;;False
2016-08-09 00:12:48+00:00;Andrés 💪🕊 🍁✊ #YoAnulo;andres20ad;41891;13171;46890;57;Uno de muchos, que luchan por mejorar este mundo, con mayor justicia, solidaridad e igualdad;;False
2012-11-24 01:51:19+00:00;Chileokulto;Chileokulto;236743;58970;248120;335;@Chileokulto El primer Panfleto virtual de Chile;;False
2009-04-24 18:06:25+00:00;Hernán;hernan_sr;30977;11302;134503;90;tweets con ají incluido. 🌶️;;True
2018-06-13 14:18:58+00:00;HonorYGloria ❤🔥;JoviNomas;34594;1694;113660;37;Bajo el cielo de Moscú.;;False
2008-04-19 17:43:02+00:00;El Ciudadano;El_Ciudadano;581822;71419;240898;1785;https://t.co/hF7jqSE6Tk medio de comunicación de los movimientos sociales #elciudadano ;;True
2010-07-19 00:03:03+00:00;GAMBA;GAMBA_CL;213205;137;81389;384;El medio más carismático de la historia. Centristas anti-extremos y anti-populismo. Salvamos la Democracia todos los días;;False
2007-07-23 22:31:14+00:00;Cooperativa;Cooperativa;3451177;643817;1430631;8624;También en @CooperativaPod, https://t.co/PmboXCxarJ e https://t.co/sjDzuB4CI9 | Tu nota de voz al WhatsApp +56978880770;Santiago, Chile;True
2008-05-03 15:15:06+00:00;BioBioChile;biobio;4187863;15448;960656;10654;Somos la red de prensa más grande del país.  Wsp: 📲Valparaíso: +56322357700 📲Santiago: +56992007888 📲Concepción: +56800726726 📲 IG: biobiochile;Chile;True
2009-11-02 14:58:20+00:00;The Clinic;thecliniccl;2158959;20050;476649;4265;Noticias, Reportajes, Entrevistas y más en todas nuestras plataformas 📱💻;Chile;True
