created_at,name,username,followers_count,following_count,tweet_count,listed_count,description,location,verified,impact,user_impact_scaled,group,group_category,user_impact_scaled_by_group
2015-09-01 23:37:11+00:00,PIENSAPRENSA 327 mil Seguidores,PiensaPrensa,327907,39521,72612,767.0,"Chilenos, autogestionados, Independientes, comprometidos con la verdad y los DDHH. https://t.co/XOUz8Phsgp","Santiago, Chile  Â±56987524113 ",True,15.1147637,0.04106897589401995,Influencers estallido,1,0.3067619932213856
2009-02-28 23:47:11+00:00,Felipe Parada ðŸ”»,FelipeParadaM,79830,3840,197773,144.0,"Hijo de obrero. RebeldÃ­a, Resistencia y Amor | Co-fundador de @180_cl | @nosotrxsahora Â¡Que el pueblo sea protagonista! #Apruebo ðŸŒ±ðŸŒˆ","Providencia, Chile",False,28.3071699,0.07853112548613544,Influencers estallido,1,0.5981422578870152
2010-07-19 10:52:44+00:00,Vagabundo ilustrado,vagoilustrado,125296,271,15847,168.0,"OtoÃ±ista, Yournalista, analista y maestro tierra, entre otras tantas cosas. Amo escribir, leer, cantar y los puntos suspensivos...",@vagoilustrado@seda.social ,False,4.5576962,0.011090332427215481,Influencers estallido,1,0.07358837230582298
2013-06-01 03:31:15+00:00,Carlos Santander,csantander23,2431,256,7338,3.0,San Antonio â€” Melipilla,,False,1.2263938,0.0016305153966139434,Influencers estallido,1,1e-05
2016-08-09 00:12:48+00:00,AndrÃ©s ðŸ’ªðŸ•Š ðŸâœŠ #YoAnulo,andres20ad,41891,13171,46890,57.0,"Uno de muchos, que luchan por mejorar este mundo, con mayor justicia, solidaridad e igualdad",,False,8.3852464,0.021959332061545385,Influencers estallido,1,0.15812735430722497
2012-11-24 01:51:19+00:00,Chileokulto,Chileokulto,236743,58970,248120,335.0,@Chileokulto El primer Panfleto virtual de Chile,,False,30.8630029,0.08578886124160856,Influencers estallido,1,0.6545928617185703
2009-04-24 18:06:25+00:00,HernÃ¡n,hernan_sr,30977,11302,134503,90.0,tweets con ajÃ­ incluido. ðŸŒ¶ï¸,,True,11.0773624,0.029604067281366588,Influencers estallido,1,0.2175880365132183
2018-06-13 14:18:58+00:00,HonorYGloria â¤ðŸ”¥,JoviNomas,34594,1694,113660,37.0,Bajo el cielo de MoscÃº.,,False,46.5019591,0.1301984183570453,Influencers estallido,1,1.00001
2008-04-19 17:43:02+00:00,El Ciudadano,El_Ciudadano,581822,71419,240898,1785.0,https://t.co/hF7jqSE6Tk medio de comunicaciÃ³n de los movimientos sociales #elciudadano ,,True,25.5707466,0.07076057192237765,Influencers estallido,1,0.537702961726532
2010-07-19 00:03:03+00:00,GAMBA,GAMBA_CL,213205,137,81389,384.0,El medio mÃ¡s carismÃ¡tico de la historia. Centristas anti-extremos y anti-populismo. Salvamos la Democracia todos los dÃ­as,,False,27.8058009,0.07710740033743214,Influencers estallido,1,0.5870685364066123
2007-07-23 22:31:14+00:00,Cooperativa,Cooperativa,3451177,643817,1430631,8624.0,"TambiÃ©n en @CooperativaPod, https://t.co/PmboXCxarJ e https://t.co/sjDzuB4CI9 | Tu nota de voz al WhatsApp +56978880770","Santiago, Chile",True,128.5910714,0.3633048402065005,Prensa y Radio,4,0.5062015858792139
2008-05-03 15:15:06+00:00,BioBioChile,biobio,4187863,15448,960656,10654.0,Somos la red de prensa mÃ¡s grande del paÃ­s.  Wsp: ðŸ“²ValparaÃ­so: +56322357700 ðŸ“²Santiago: +56992007888 ðŸ“²ConcepciÃ³n: +56800726726 ðŸ“² IG: biobiochile,Chile,True,216.7240284,0.613573818365275,Prensa y Radio,4,0.8639094836461064
2009-11-02 14:58:20+00:00,The Clinic,thecliniccl,2158959,20050,476649,4265.0,"Noticias, Reportajes, Entrevistas y mÃ¡s en todas nuestras plataformas ðŸ“±ðŸ’»",Chile,True,101.5221676,0.28643794359364577,Prensa y Radio,4,0.39633620744703174
2009-07-06 04:36:46+00:00,Publimetro,PublimetroChile,1294505,12257,1207554,3967.0,El diario gratuito mÃ¡s leÃ­do en Chile #YoLeoPublimetro,"Santiago, Chile",True,250.2568104,0.7087960300285119,Prensa y Radio,4,1.0000099999999998
2010-10-11 23:56:10+00:00,Radio ADN,adnradiochile,2689018,2078,521464,3553.0,"Actualidad, Deportes y Noticias. Emisora miembro de @PRISARadio. ","Santiago, Chile",True,177.1486697,0.5011926511009568,Prensa y Radio,4,0.7032837785089499
2007-04-02 15:22:14+00:00,La Tercera,latercera,2148175,213821,1121976,7153.0,MÃ¡s que un diario ðŸ“²ðŸ“°,"Santiago, Chile",True,117.8611876,0.3328354545669333,Prensa y Radio,4,0.46265188202233515
2018-04-11 18:32:25+00:00,Interferencia,InterferenciaCL,182585,3026,7709,538.0,Apoya al periodismo independiente del poder.,,False,3.8743359,0.009149811085179115,Prensa y Radio,4,1e-05
2008-01-29 04:20:54+00:00,El Mostrador,elmostrador,1952615,227,323446,5990.0,El primer medio digital de Chile,Chile,True,113.8216139,0.321364377043731,Prensa y Radio,4,0.44625634208712767
2012-06-20 20:40:33+00:00,El Desconcierto,eldesconcierto,473115,11524,227436,1063.0,Medio de comunicaciÃ³n digital independiente,Chile,True,49.4845092,0.1386678921071925,Prensa y Radio,4,0.1851293896504193
2015-03-30 19:30:32+00:00,Tele13 Radio,Tele13_Radio,153919,8279,462129,587.0,#InformaciÃ³nEsencial,Chile,False,112.3139586,0.3170831255778729,Prensa y Radio,4,0.4401371759286597
2008-12-19 19:09:28+00:00,CNN Chile,CNNChile,4041634,898,479835,9544.0,Somos la cuenta oficial en Twitter de CNN Chile #VamosMÃ¡sAllÃ¡,Chile,True,166.689731,0.4714926615604463,Television,5,0.37205866294235024
2009-11-15 19:23:17+00:00,24 Horas,24HorasTVN,4253749,632,909245,8067.0,Â¡HOLA! ðŸ–ï¸ Somos el departamento de prensa de TVN.,"Santiago, Chile",True,352.8403605,1.0001,Television,5,1.00001
2009-03-17 20:54:09+00:00,T13,T13,3990134,91068,706797,7763.0,Somos el Departamento de Prensa de Canal 13. Tus denuncias al ðŸ“±+56939200797,"Santiago, Chile",True,120.1489423,0.3393319350044039,Television,5,0.21506026562088126
